year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.0196,32,48,80,99.68,170.83,270.52,3.12,3.56,21,36,119.2,0.79,Low,Background
2011,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.033,54,81,135,448.17,111.2,559.37,8.3,1.37,42,69,197.6,1.32,Moderate,Elevated
2012,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.0328,50,84,134,72.37,718.83,791.2,1.45,8.56,39,59,93.1,0.62,Moderate,Background
2013,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.0335,62,75,137,1827.07,242.19,2069.26,29.47,3.23,45,63,132.7,0.88,Moderate,Background
2014,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.0293,51,69,120,1799.68,215.71,2015.39,35.29,3.13,38,50,91.5,0.61,Moderate,Background
2015,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.0851,145,203,348,4388.93,633.98,5022.91,30.27,3.12,102,148,335.8,2.24,Moderate,High
2016,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.013,24,29,53,157.35,47.04,204.39,6.56,1.62,19,20,126.1,0.84,Low,Background
2017,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.02,29,53,82,122.16,230.54,352.7,4.21,4.35,17,42,95.5,0.64,Low,Background
2018,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.0237,40,57,97,35.54,183.42,218.96,0.89,3.22,31,46,119.4,0.8,Low,Background
2019,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.0548,84,140,224,241.04,349.87,590.91,2.87,2.5,65,122,225.8,1.51,Moderate,Elevated
2020,209,Denpasar,Bali,4090.87,-0.4276,99.2615,0.0345,60,81,141,397.1,202.62,599.73,6.62,2.5,38,61,194.6,1.3,Moderate,Elevated
2010,210,Badung,Bali,1809.97,-3.3092,117.0719,0.0287,19,33,52,53.04,628.18,681.22,2.79,19.04,12,24,77.4,0.52,Low,Background
2011,210,Badung,Bali,1809.97,-3.3092,117.0719,0.0707,46,82,128,450.96,207.56,658.51,9.8,2.53,36,57,147.5,0.98,Moderate,Background
2012,210,Badung,Bali,1809.97,-3.3092,117.0719,0.0613,42,69,111,92.2,200.67,292.88,2.2,2.91,27,61,198.2,1.32,Moderate,Elevated
2013,210,Badung,Bali,1809.97,-3.3092,117.0719,0.0724,51,80,131,391.61,98.38,489.99,7.68,1.23,31,64,146.4,0.98,Moderate,Background
2014,210,Badung,Bali,1809.97,-3.3092,117.0719,0.0663,47,73,120,354.35,390.73,745.08,7.54,5.35,31,54,110.4,0.74,Moderate,Background
2015,210,Badung,Bali,1809.97,-3.3092,117.0719,0.2111,136,246,382,4810.0,1348.24,6158.24,35.37,5.48,94,175,203.9,1.36,Moderate,Elevated
2016,210,Badung,Bali,1809.97,-3.3092,117.0719,0.0392,35,36,71,66.74,34.09,100.84,1.91,0.95,23,26,109.8,0.73,Low,Background
2017,210,Badung,Bali,1809.97,-3.3092,117.0719,0.0851,53,101,154,1165.79,192.23,1358.02,22.0,1.9,36,76,144.1,0.96,Moderate,Background
2018,210,Badung,Bali,1809.97,-3.3092,117.0719,0.0652,48,70,118,141.1,155.84,296.94,2.94,2.23,34,50,91.1,0.61,Moderate,Background
2019,210,Badung,Bali,1809.97,-3.3092,117.0719,0.1536,101,177,278,272.87,642.58,915.45,2.7,3.63,62,141,304.4,2.03,Moderate,High
2020,210,Badung,Bali,1809.97,-3.3092,117.0719,0.0613,39,72,111,228.42,273.48,501.9,5.86,3.8,29,62,150.7,1.0,Moderate,Elevated
2010,211,Bangli,Bali,2615.7,5.2044,111.7729,0.0206,24,30,54,687.4,30.84,718.24,28.64,1.03,17,22,92.7,0.62,Low,Background
2011,211,Bangli,Bali,2615.7,5.2044,111.7729,0.0566,58,90,148,503.38,819.53,1322.91,8.68,9.11,39,79,156.0,1.04,Moderate,Elevated
2012,211,Bangli,Bali,2615.7,5.2044,111.7729,0.0432,44,69,113,156.13,240.48,396.6,3.55,3.49,29,51,178.0,1.19,Moderate,Elevated
