year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.077,51,70,121,379.84,315.52,695.35,7.45,4.51,36,55,87.1,0.58,Moderate,Background
2011,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.2423,157,224,381,2702.83,2106.62,4809.45,17.22,9.4,98,195,139.4,0.93,Moderate,Background
2012,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.1959,113,195,308,1042.3,1493.53,2535.82,9.22,7.66,77,154,316.5,2.11,Moderate,High
2013,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.2646,188,228,416,357.52,920.11,1277.64,1.9,4.04,124,167,208.1,1.39,Moderate,Elevated
2014,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.271,160,266,426,2713.02,2852.67,5565.69,16.96,10.72,106,229,238.5,1.59,Moderate,Elevated
2015,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.3925,270,347,617,1959.35,3225.34,5184.69,7.26,9.29,196,307,455.9,3.04,High,Severe
2016,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.1158,77,105,182,191.21,227.94,419.15,2.48,2.17,56,83,113.0,0.75,Moderate,Background
2017,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.208,141,186,327,1678.31,2619.84,4298.15,11.9,14.09,99,158,273.1,1.82,Moderate,High
2018,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.2105,146,185,331,685.5,874.41,1559.92,4.7,4.73,102,135,236.1,1.57,Moderate,Elevated
2019,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.6272,372,614,986,2386.49,996.3,3382.79,6.42,1.62,290,480,346.1,2.31,High,High
2020,203,Cilegon,Banten,1572.12,-7.3736,123.7324,0.2455,143,243,386,1233.92,578.52,1812.44,8.63,2.38,97,204,265.0,1.77,Moderate,High
2010,204,Serang,Banten,4665.6,-1.4395,122.5908,0.0487,94,133,227,831.81,1245.66,2077.48,8.85,9.37,73,94,206.9,1.38,Moderate,Elevated
2011,204,Serang,Banten,4665.6,-1.4395,122.5908,0.0928,172,261,433,3358.01,1030.79,4388.8,19.52,3.95,113,188,222.5,1.48,Moderate,Elevated
2012,204,Serang,Banten,4665.6,-1.4395,122.5908,0.0821,166,217,383,1166.99,280.26,1447.25,7.03,1.29,122,177,186.3,1.24,Moderate,Elevated
2013,204,Serang,Banten,4665.6,-1.4395,122.5908,0.0904,158,264,422,1342.2,653.51,1995.7,8.49,2.48,97,233,210.2,1.4,Moderate,Elevated
2014,204,Serang,Banten,4665.6,-1.4395,122.5908,0.0703,141,187,328,260.35,1221.76,1482.11,1.85,6.53,92,167,193.6,1.29,Moderate,Elevated
2015,204,Serang,Banten,4665.6,-1.4395,122.5908,0.2088,407,567,974,394.55,1304.82,1699.37,0.97,2.3,268,416,137.1,0.91,High,Background
2016,204,Serang,Banten,4665.6,-1.4395,122.5908,0.033,55,99,154,23.31,785.43,808.74,0.42,7.93,38,71,182.7,1.22,Moderate,Elevated
2017,204,Serang,Banten,4665.6,-1.4395,122.5908,0.0742,141,205,346,366.12,1718.42,2084.54,2.6,8.38,91,177,105.2,0.7,Moderate,Background
2018,204,Serang,Banten,4665.6,-1.4395,122.5908,0.0855,151,248,399,695.39,282.27,977.66,4.61,1.14,104,222,245.3,1.64,Moderate,Elevated
2019,204,Serang,Banten,4665.6,-1.4395,122.5908,0.2302,431,643,1074,560.53,3500.25,4060.77,1.3,5.44,280,542,297.6,1.98,Extreme,High
2020,204,Serang,Banten,4665.6,-1.4395,122.5908,0.0913,169,257,426,52.44,936.53,988.97,0.31,3.64,132,213,171.6,1.14,Moderate,Elevated
2010,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.0863,92,165,257,155.78,396.73,552.51,1.69,2.4,62,141,92.2,0.61,Moderate,Background
2011,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.1068,128,190,318,766.19,356.95,1123.14,5.99,1.88,97,170,279.1,1.86,Moderate,High
2012,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.1417,175,247,422,1049.57,2548.27,3597.84,6.0,10.32,127,212,273.6,1.82,Moderate,High
2013,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.1098,150,177,327,527.18,142.49,669.68,3.51,0.81,110,137,134.3,0.9,Moderate,Background
2014,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.1417,149,273,422,1185.54,884.78,2070.32,7.96,3.24,104,234,202.0,1.35,Moderate,Elevated
2015,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.2103,245,381,626,1221.71,4611.54,5833.25,4.99,12.1,181,276,379.1,2.53,High,High
2016,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.0887,101,163,264,1407.99,1052.43,2460.42,13.94,6.46,72,120,82.7,0.55,Moderate,Background
2017,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.1199,145,212,357,1131.34,645.51,1776.85,7.8,3.04,97,182,157.7,1.05,Moderate,Elevated
2018,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.1364,157,249,406,732.21,1495.91,2228.12,4.66,6.01,118,176,186.1,1.24,Moderate,Elevated
2019,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.2499,295,449,744,3011.13,2305.15,5316.28,10.21,5.13,203,340,323.0,2.15,High,High
2020,205,Tangerang Selatan,Banten,2977.15,0.8503,136.3752,0.1105,127,202,329,2719.57,585.84,3305.41,21.41,2.9,96,151,189.9,1.27,Moderate,Elevated
2010,206,Tangerang,Banten,3271.39,-0.4716,127.2912,0.0355,48,68,116,139.32,426.85,566.17,2.9,6.28,34,50,113.8,0.76,Moderate,Background
2011,206,Tangerang,Banten,3271.39,-0.4716,127.2912,0.1284,158,262,420,492.88,1613.03,2105.91,3.12,6.16,107,233,254.3,1.7,Moderate,High
2012,206,Tangerang,Banten,3271.39,-0.4716,127.2912,0.1281,160,259,419,219.57,417.47,637.04,1.37,1.61,105,181,235.7,1.57,Moderate,Elevated
2013,206,Tangerang,Banten,3271.39,-0.4716,127.2912,0.1039,133,207,340,1243.08,380.94,1624.02,9.35,1.84,83,156,196.5,1.31,Moderate,Elevated
2014,206,Tangerang,Banten,3271.39,-0.4716,127.2912,0.1045,123,219,342,2030.51,965.21,2995.72,16.51,4.41,77,155,206.3,1.38,Moderate,Elevated
2015,206,Tangerang,Banten,3271.39,-0.4716,127.2912,0.3521,422,730,1152,543.68,1352.0,1895.67,1.29,1.85,303,588,283.2,1.89,Extreme,High
2016,206,Tangerang,Banten,3271.39,-0.4716,127.2912,0.0807,103,161,264,391.19,498.0,889.19,3.8,3.09,75,143,116.9,0.78,Moderate,Background
2017,206,Tangerang,Banten,3271.39,-0.4716,127.2912,0.1272,174,242,416,4719.75,1204.53,5924.28,27.12,4.98,137,216,142.7,0.95,Moderate,Background
