year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.1183,89,137,226,322.46,945.29,1267.74,3.62,6.9,60,123,63.6,0.42,Moderate,Background
2011,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.2015,143,242,385,345.51,463.52,809.03,2.42,1.92,100,208,197.5,1.32,Moderate,Elevated
2012,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.2251,159,271,430,205.97,2058.55,2264.52,1.3,7.6,107,213,183.3,1.22,Moderate,Elevated
2013,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.2292,159,279,438,4750.97,1287.34,6038.31,29.88,4.61,105,205,230.5,1.54,Moderate,Elevated
2014,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.1806,131,214,345,608.03,832.02,1440.05,4.64,3.89,81,178,131.8,0.88,Moderate,Background
2015,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.4407,301,541,842,638.72,8127.7,8766.42,2.12,15.02,229,416,335.1,2.23,High,High
2016,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.1172,94,130,224,306.77,354.43,661.2,3.26,2.73,66,106,124.5,0.83,Moderate,Background
2017,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.1774,142,197,339,772.51,425.74,1198.25,5.44,2.16,90,163,206.0,1.37,Moderate,Elevated
2018,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.2162,148,265,413,600.58,617.49,1218.07,4.06,2.33,102,207,142.6,0.95,Moderate,Background
2019,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.2805,223,313,536,1328.71,1427.47,2756.18,5.96,4.56,154,265,139.3,0.93,High,Background
2020,72,Bengkulu,Bengkulu,1910.67,-10.239,135.6602,0.1696,129,195,324,256.61,1077.71,1334.32,1.99,5.53,102,145,179.4,1.2,Moderate,Elevated
2010,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.1008,67,111,178,179.93,829.21,1009.14,2.69,7.47,53,99,191.8,1.28,Moderate,Elevated
2011,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.2451,174,259,433,225.0,2429.53,2654.53,1.29,9.38,107,209,126.7,0.84,Moderate,Background
2012,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.2378,159,261,420,3820.26,1988.04,5808.3,24.03,7.62,125,211,152.5,1.02,Moderate,Elevated
2013,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.2083,132,236,368,1520.86,170.58,1691.45,11.52,0.72,87,201,254.8,1.7,Moderate,High
2014,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.1891,138,196,334,474.55,456.27,930.83,3.44,2.33,105,162,225.7,1.5,Moderate,Elevated
2015,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.4156,291,443,734,4523.96,652.81,5176.76,15.55,1.47,205,374,100.0,0.67,High,Background
2016,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.0832,54,93,147,61.61,494.64,556.25,1.14,5.32,40,68,269.1,1.79,Moderate,High
2017,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.1749,123,186,309,404.48,1888.83,2293.32,3.29,10.16,82,159,188.4,1.26,Moderate,Elevated
2018,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.201,149,206,355,239.98,384.75,624.74,1.61,1.87,89,173,146.1,0.97,Moderate,Background
2019,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.599,410,648,1058,687.99,4146.13,4834.12,1.68,6.4,297,479,61.3,0.41,Extreme,Background
2020,73,Bengkulu Selatan,Bengkulu,1766.3,-2.9186,110.8266,0.265,182,286,468,525.13,497.74,1022.87,2.89,1.74,135,230,209.6,1.4,Moderate,Elevated
2010,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.051,68,101,169,715.26,2087.23,2802.49,10.52,20.67,47,76,90.8,0.61,Moderate,Background
2011,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.1242,167,245,412,619.45,909.07,1528.52,3.71,3.71,109,185,261.5,1.74,Moderate,High
2012,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.0917,122,182,304,420.31,261.05,681.36,3.45,1.43,81,159,181.5,1.21,Moderate,Elevated
2013,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.1251,157,258,415,258.08,727.86,985.94,1.64,2.82,122,209,81.1,0.54,Moderate,Background
2014,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.1158,161,223,384,480.29,1092.08,1572.36,2.98,4.9,116,198,259.7,1.73,Moderate,High
2015,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.1498,196,301,497,96.44,2485.73,2582.17,0.49,8.26,126,224,350.5,2.34,Moderate,High
2016,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.0597,85,113,198,1087.42,308.09,1395.52,12.79,2.73,60,94,89.7,0.6,Moderate,Background
2017,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.11,141,224,365,770.57,2520.96,3291.53,5.47,11.25,90,190,171.3,1.14,Moderate,Elevated
2018,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.1248,164,250,414,226.23,661.04,887.28,1.38,2.64,115,177,218.5,1.46,Moderate,Elevated
2019,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.1643,221,324,545,4058.94,653.37,4712.32,18.37,2.02,138,263,205.1,1.37,High,Elevated
2020,74,Bengkulu Tengah,Bengkulu,3316.88,-10.7924,121.807,0.1013,152,184,336,968.65,556.13,1524.78,6.37,3.02,93,146,182.7,1.22,Moderate,Elevated
2010,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.1384,61,109,170,423.24,2356.56,2779.79,6.94,21.62,44,95,110.0,0.73,Moderate,Background
2011,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.3582,188,252,440,2744.05,374.66,3118.71,14.6,1.49,147,206,194.4,1.3,Moderate,Elevated
2012,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.3126,142,242,384,445.1,832.36,1277.46,3.13,3.44,96,208,212.1,1.41,Moderate,Elevated
2013,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.3582,203,237,440,1111.36,1166.9,2278.26,5.47,4.92,137,174,191.1,1.27,Moderate,Elevated
2014,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.2255,107,170,277,777.04,334.15,1111.18,7.26,1.97,84,140,156.2,1.04,Moderate,Elevated
2015,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.4933,237,369,606,1029.03,3039.41,4068.44,4.34,8.24,159,277,301.2,2.01,High,High
2016,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.1791,84,136,220,174.43,251.55,425.98,2.08,1.85,61,105,199.6,1.33,Moderate,Elevated
2017,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.2768,128,212,340,1346.35,221.57,1567.92,10.52,1.05,97,163,123.5,0.82,Moderate,Background
2018,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.3972,192,296,488,828.03,1623.34,2451.36,4.31,5.48,132,214,196.1,1.31,Moderate,Elevated
2019,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.8555,445,606,1051,1780.65,1979.74,3760.39,4.0,3.27,294,499,401.1,2.67,Extreme,Severe
2020,75,Bengkulu Utara,Bengkulu,1228.53,-4.5036,118.3327,0.2881,116,238,354,466.71,927.98,1394.69,4.02,3.9,75,168,189.4,1.26,Moderate,Elevated
2010,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.1795,79,104,183,163.28,124.86,288.14,2.07,1.2,50,83,213.9,1.43,Moderate,Elevated
2011,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.3933,165,236,401,925.64,379.23,1304.87,5.61,1.61,125,194,216.1,1.44,Moderate,Elevated
2012,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.41,177,241,418,964.59,1044.24,2008.83,5.45,4.33,130,187,225.3,1.5,Moderate,Elevated
2013,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.305,119,192,311,2935.81,592.85,3528.66,24.67,3.09,75,167,204.7,1.36,Moderate,Elevated
2014,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.411,166,253,419,390.82,799.53,1190.34,2.35,3.16,105,221,140.5,0.94,Moderate,Background
2015,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.6552,286,382,668,287.2,16927.14,17214.34,1.0,44.31,214,268,343.1,2.29,High,High
2016,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.1255,54,74,128,351.05,53.44,404.49,6.5,0.72,35,64,94.3,0.63,Moderate,Background
2017,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.3296,134,202,336,1631.18,373.83,2005.01,12.17,1.85,102,176,166.0,1.11,Moderate,Elevated
2018,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.3482,154,201,355,454.55,1028.73,1483.28,2.95,5.12,101,169,191.2,1.27,Moderate,Elevated
2019,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,1.0377,414,644,1058,1545.46,4082.87,5628.33,3.73,6.34,259,502,326.0,2.17,Extreme,High
2020,76,Kaur,Bengkulu,1019.55,-4.6754,102.0049,0.3963,155,249,404,1025.14,1299.21,2324.36,6.61,5.22,117,175,220.9,1.47,Moderate,Elevated
2010,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.0593,65,114,179,469.28,147.96,617.24,7.22,1.3,49,88,144.5,0.96,Moderate,Background
2011,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.1397,153,269,422,724.17,3752.28,4476.45,4.73,13.95,109,204,212.3,1.42,Moderate,Elevated
2012,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.1456,187,253,440,3953.2,753.85,4707.05,21.14,2.98,141,195,209.8,1.4,Moderate,Elevated
2013,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.1417,168,260,428,2506.48,2524.8,5031.29,14.92,9.71,112,192,117.3,0.78,Moderate,Background
2014,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.102,111,197,308,1127.96,877.09,2005.05,10.16,4.45,83,138,147.6,0.98,Moderate,Background
2015,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.2684,363,448,811,4088.5,1446.78,5535.28,11.26,3.23,282,363,99.1,0.66,High,Background
2016,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.0665,80,121,201,4200.0,68.99,4268.99,52.5,0.57,61,105,82.0,0.55,Moderate,Background
2017,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.1205,143,221,364,710.48,660.54,1371.03,4.97,2.99,96,178,124.8,0.83,Moderate,Background
2018,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.0973,128,166,294,981.72,1001.34,1983.06,7.67,6.03,88,140,185.6,1.24,Moderate,Elevated
2019,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.3241,389,590,979,3690.33,3607.74,7298.07,9.49,6.11,298,530,220.8,1.47,High,Elevated
2020,77,Kepahiang,Bengkulu,3021.07,0.6782,112.7791,0.1394,168,253,421,81.51,1164.39,1245.9,0.49,4.6,107,220,185.3,1.24,Moderate,Elevated
2010,78,Lebong,Bengkulu,896.07,0.4962,99.7054,0.2243,74,127,201,90.95,259.27,350.22,1.23,2.04,55,99,129.7,0.86,Moderate,Background
2011,78,Lebong,Bengkulu,896.07,0.4962,99.7054,0.3805,139,202,341,192.61,2454.13,2646.73,1.39,12.15,84,172,190.7,1.27,Moderate,Elevated
2012,78,Lebong,Bengkulu,896.07,0.4962,99.7054,0.4821,178,254,432,2879.48,705.41,3584.89,16.18,2.78,133,188,254.9,1.7,Moderate,High
