year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.1339,60,98,158,127.81,221.8,349.61,2.13,2.26,45,87,158.5,1.06,Moderate,Elevated
2011,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.3,141,213,354,3698.42,885.65,4584.06,26.23,4.16,91,190,128.6,0.86,Moderate,Background
2012,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.289,128,213,341,881.21,434.97,1316.19,6.88,2.04,90,180,253.2,1.69,Moderate,High
2013,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.2924,141,204,345,267.88,660.95,928.83,1.9,3.24,111,153,201.6,1.34,Moderate,Elevated
2014,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.3407,161,241,402,4664.0,243.31,4907.31,28.97,1.01,125,205,224.0,1.49,Moderate,Elevated
2015,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.5407,262,376,638,2665.81,1185.16,3850.97,10.17,3.15,168,293,329.2,2.19,High,High
2016,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.1475,63,111,174,209.42,271.71,481.13,3.32,2.45,42,83,130.3,0.87,Moderate,Background
2017,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.2669,126,189,315,97.48,311.23,408.71,0.77,1.65,96,168,171.0,1.14,Moderate,Elevated
2018,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.3898,192,268,460,10717.87,472.07,11189.95,55.82,1.76,131,230,142.9,0.95,Moderate,Background
2019,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.7779,361,557,918,2218.6,1779.71,3998.31,6.15,3.2,261,462,307.3,2.05,High,High
2020,167,Yogyakarta,DI Yogyakarta,1180.04,5.4124,137.2309,0.2822,126,207,333,432.06,1041.94,1474.0,3.43,5.03,96,155,150.8,1.01,Moderate,Elevated
2010,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.1328,92,131,223,257.61,346.86,604.48,2.8,2.65,61,106,186.6,1.24,Moderate,Elevated
2011,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.2674,174,275,449,146.97,1595.74,1742.71,0.84,5.8,104,231,182.5,1.22,Moderate,Elevated
2012,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.212,132,224,356,150.7,368.43,519.13,1.14,1.64,91,170,147.7,0.98,Moderate,Background
2013,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.24,156,247,403,286.68,692.68,979.36,1.84,2.8,101,188,186.6,1.24,Moderate,Elevated
2014,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.24,157,246,403,1202.86,924.96,2127.82,7.66,3.76,115,208,182.1,1.21,Moderate,Elevated
2015,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.6379,433,638,1071,6812.11,2111.63,8923.73,15.73,3.31,263,538,233.0,1.55,Extreme,Elevated
2016,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.0953,61,99,160,197.28,192.9,390.19,3.23,1.95,43,81,108.8,0.73,Moderate,Background
2017,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.2108,146,208,354,541.86,6156.6,6698.46,3.71,29.6,110,156,110.6,0.74,Moderate,Background
2018,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.2186,149,218,367,367.61,304.28,671.89,2.47,1.4,116,174,173.3,1.16,Moderate,Elevated
2019,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.3764,267,365,632,2568.0,816.46,3384.45,9.62,2.24,160,274,174.1,1.16,High,Elevated
2020,168,Bantul,DI Yogyakarta,1678.92,-1.5821,121.1763,0.2734,196,263,459,344.55,1035.72,1380.27,1.76,3.94,139,184,208.1,1.39,Moderate,Elevated
2010,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.0629,73,129,202,1269.59,231.16,1500.75,17.39,1.79,52,111,184.4,1.23,Moderate,Elevated
2011,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.1171,133,243,376,281.01,604.65,885.66,2.11,2.49,85,171,260.6,1.74,Moderate,High
2012,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.1137,152,213,365,1299.43,506.13,1805.56,8.55,2.38,102,166,205.2,1.37,Moderate,Elevated
2013,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.1302,161,257,418,373.33,1175.19,1548.52,2.32,4.57,100,198,295.2,1.97,Moderate,High
2014,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.1168,140,235,375,1410.96,476.6,1887.55,10.08,2.03,92,208,202.5,1.35,Moderate,Elevated
2015,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.1922,248,369,617,4383.33,1016.11,5399.44,17.67,2.75,189,292,193.2,1.29,High,Elevated
2016,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.0542,71,103,174,385.34,201.85,587.19,5.43,1.96,53,76,141.5,0.94,Moderate,Background
2017,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.1177,139,239,378,180.72,2272.48,2453.2,1.3,9.51,102,194,181.1,1.21,Moderate,Elevated
2018,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.1411,167,286,453,2432.1,845.27,3277.37,14.56,2.96,117,227,91.0,0.61,Moderate,Background
2019,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.2074,267,399,666,916.98,827.05,1744.03,3.43,2.07,175,292,398.1,2.65,High,High
2020,169,Gunungkidul,DI Yogyakarta,3210.79,-8.4195,105.6213,0.1065,159,183,342,1397.01,725.07,2122.07,8.79,3.96,108,149,158.2,1.05,Moderate,Elevated
2010,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,0.4717,76,92,168,294.62,256.4,551.02,3.88,2.79,55,67,128.3,0.86,Moderate,Background
2011,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,1.0866,158,229,387,1165.31,910.84,2076.14,7.38,3.98,107,193,202.4,1.35,Moderate,Elevated
2012,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,1.1119,149,247,396,1775.15,906.35,2681.5,11.91,3.67,90,206,191.5,1.28,Moderate,Elevated
2013,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,1.0726,145,237,382,2976.01,631.3,3607.31,20.52,2.66,99,194,119.8,0.8,Moderate,Background
2014,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,1.1231,157,243,400,1404.46,5735.73,7140.2,8.95,23.6,95,171,164.0,1.09,Moderate,Elevated
2015,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,2.3923,339,513,852,955.66,1447.95,2403.61,2.82,2.82,253,456,265.6,1.77,High,High
2016,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,0.3959,55,86,141,74.14,325.33,399.47,1.35,3.78,35,63,149.5,1.0,Moderate,Background
2017,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,1.0894,146,242,388,338.11,1097.11,1435.22,2.32,4.53,113,202,158.2,1.05,Moderate,Elevated
2018,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,0.8873,121,195,316,1044.02,300.21,1344.22,8.63,1.54,73,168,62.6,0.42,Moderate,Background
2019,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,3.1167,484,626,1110,5248.86,1314.92,6563.78,10.84,2.1,325,499,357.9,2.39,Extreme,High
2020,170,Kulon Progo,DI Yogyakarta,356.15,-3.3148,101.3705,1.1175,137,261,398,878.37,1177.74,2056.1,6.41,4.51,100,204,99.5,0.66,Moderate,Background
2010,171,Sleman,DI Yogyakarta,3002.6,-2.4322,127.6228,0.0676,85,118,203,332.65,332.35,665.0,3.91,2.82,65,91,98.2,0.65,Moderate,Background
2011,171,Sleman,DI Yogyakarta,3002.6,-2.4322,127.6228,0.1289,155,232,387,2639.62,1792.1,4431.72,17.03,7.72,120,179,276.7,1.84,Moderate,High
2012,171,Sleman,DI Yogyakarta,3002.6,-2.4322,127.6228,0.1202,146,215,361,225.46,909.72,1135.18,1.54,4.23,115,186,178.7,1.19,Moderate,Elevated
