year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.0931,95,159,254,717.61,770.8,1488.42,7.55,4.85,63,136,129.6,0.86,Moderate,Background
2011,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.1077,115,179,294,1593.75,385.79,1979.55,13.86,2.16,90,147,165.4,1.1,Moderate,Elevated
2012,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.1162,135,182,317,279.34,445.35,724.69,2.07,2.45,106,139,173.6,1.16,Moderate,Elevated
2013,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.1279,140,209,349,580.73,1227.47,1808.21,4.15,5.87,99,162,240.1,1.6,Moderate,Elevated
2014,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.1458,163,235,398,680.01,3004.44,3684.44,4.17,12.78,111,169,175.9,1.17,Moderate,Elevated
2015,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.3411,381,550,931,1261.56,1126.31,2387.87,3.31,2.05,273,434,332.6,2.22,High,High
2016,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.0469,46,82,128,232.35,193.05,425.4,5.05,2.35,28,69,119.3,0.8,Moderate,Background
2017,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.1176,133,188,321,1510.0,1929.26,3439.26,11.35,10.26,85,163,222.1,1.48,Moderate,Elevated
2018,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.144,157,236,393,479.12,504.57,983.69,3.05,2.14,101,172,188.6,1.26,Moderate,Elevated
2019,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.3448,379,562,941,1188.71,3186.51,4375.21,3.14,5.67,240,400,221.6,1.48,High,Elevated
2020,108,Jakarta Pusat,DKI Jakarta,2729.03,-10.1234,139.2513,0.1195,135,191,326,458.55,917.33,1375.88,3.4,4.8,96,151,152.3,1.02,Moderate,Elevated
2010,109,Jakarta Utara,DKI Jakarta,4205.66,-9.4226,136.0301,0.0295,47,77,124,1085.47,213.61,1299.09,23.1,2.77,34,68,89.0,0.59,Moderate,Background
2011,109,Jakarta Utara,DKI Jakarta,4205.66,-9.4226,136.0301,0.0797,136,199,335,344.71,289.14,633.85,2.53,1.45,104,159,162.8,1.09,Moderate,Elevated
2012,109,Jakarta Utara,DKI Jakarta,4205.66,-9.4226,136.0301,0.0951,173,227,400,1275.33,444.16,1719.48,7.37,1.96,122,162,183.1,1.22,Moderate,Elevated
