year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.1671,113,149,262,176.84,750.73,927.57,1.56,5.04,78,120,58.5,0.39,Moderate,Background
2011,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.3528,242,311,553,158.97,3576.46,3735.43,0.66,11.5,179,267,184.9,1.23,High,Elevated
2012,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.3694,237,342,579,3752.15,854.99,4607.13,15.83,2.5,148,299,244.3,1.63,High,Elevated
2013,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.3062,193,287,480,1692.79,2328.53,4021.32,8.77,8.11,134,216,109.9,0.73,Moderate,Background
2014,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.2514,154,240,394,314.47,837.34,1151.81,2.04,3.49,114,203,183.4,1.22,Moderate,Elevated
2015,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.7458,435,734,1169,1013.95,1381.78,2395.73,2.33,1.88,331,583,285.3,1.9,Extreme,High
2016,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.208,133,193,326,75.52,1823.12,1898.64,0.57,9.45,99,135,226.1,1.51,Moderate,Elevated
2017,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.266,184,233,417,832.88,531.92,1364.8,4.53,2.28,135,176,136.8,0.91,Moderate,Background
2018,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.2935,173,287,460,451.45,806.7,1258.16,2.61,2.81,107,243,209.4,1.4,Moderate,Elevated
2019,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.5365,324,517,841,1810.72,2558.17,4368.9,5.59,4.95,254,435,416.6,2.78,High,Severe
2020,48,Jambi,Jambi,1567.46,2.7579,111.4635,0.2699,178,245,423,3267.67,761.16,4028.83,18.36,3.11,111,192,219.7,1.46,Moderate,Elevated
2010,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.0594,103,167,270,660.48,456.67,1117.14,6.41,2.73,69,147,108.9,0.73,Moderate,Background
2011,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.1045,188,287,475,720.5,3137.71,3858.21,3.83,10.93,136,252,205.0,1.37,Moderate,Elevated
2012,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.0873,156,241,397,1649.88,232.43,1882.31,10.58,0.96,110,202,265.8,1.77,Moderate,High
2013,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.1126,185,327,512,891.81,1271.9,2163.71,4.82,3.89,120,278,157.0,1.05,High,Elevated
2014,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.0926,156,265,421,796.07,1032.06,1828.13,5.1,3.89,98,229,134.1,0.89,Moderate,Background
2015,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.2684,523,697,1220,297.88,717.33,1015.21,0.57,1.03,351,568,273.6,1.82,Extreme,High
2016,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.0583,100,165,265,1522.84,2201.77,3724.61,15.23,13.34,71,123,133.7,0.89,Moderate,Background
2017,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.1093,210,287,497,3068.85,2341.47,5410.32,14.61,8.16,165,212,245.3,1.64,Moderate,Elevated
2018,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.1025,183,283,466,1125.5,1044.04,2169.54,6.15,3.69,110,211,96.3,0.64,Moderate,Background
2019,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.1734,317,471,788,2347.43,1811.79,4159.22,7.41,3.85,215,362,216.0,1.44,High,Elevated
2020,49,Sungai Penuh,Jambi,4545.52,4.4105,96.7837,0.0975,186,257,443,7611.83,1938.53,9550.36,40.92,7.54,121,191,172.0,1.15,Moderate,Elevated
2010,50,Batang Hari,Jambi,709.92,1.5631,140.5151,0.4747,124,213,337,707.08,944.55,1651.63,5.7,4.43,88,177,222.0,1.48,Moderate,Elevated
2011,50,Batang Hari,Jambi,709.92,1.5631,140.5151,0.7353,204,318,522,557.66,3784.41,4342.07,2.73,11.9,154,252,254.7,1.7,High,High
2012,50,Batang Hari,Jambi,709.92,1.5631,140.5151,0.6775,188,293,481,703.27,378.25,1081.52,3.74,1.29,143,225,336.6,2.24,Moderate,High
2013,50,Batang Hari,Jambi,709.92,1.5631,140.5151,0.7564,213,324,537,408.62,1259.8,1668.43,1.92,3.89,161,270,66.8,0.45,High,Background
2014,50,Batang Hari,Jambi,709.92,1.5631,140.5151,0.624,183,260,443,2290.66,2840.59,5131.25,12.52,10.93,115,203,253.8,1.69,Moderate,High
2015,50,Batang Hari,Jambi,709.92,1.5631,140.5151,2.1129,610,890,1500,951.56,3836.4,4787.96,1.56,4.31,396,675,424.9,2.83,Extreme,Severe
2016,50,Batang Hari,Jambi,709.92,1.5631,140.5151,0.4268,121,182,303,700.27,679.19,1379.47,5.79,3.73,83,148,226.2,1.51,Moderate,Elevated
2017,50,Batang Hari,Jambi,709.92,1.5631,140.5151,0.5973,177,247,424,2171.84,2045.85,4217.69,12.27,8.28,125,179,168.1,1.12,Moderate,Elevated
2018,50,Batang Hari,Jambi,709.92,1.5631,140.5151,0.6113,161,273,434,480.71,1440.62,1921.32,2.99,5.28,98,240,270.2,1.8,Moderate,High
2019,50,Batang Hari,Jambi,709.92,1.5631,140.5151,1.0804,310,457,767,613.13,5243.58,5856.7,1.98,11.47,216,401,321.0,2.14,High,High
2020,50,Batang Hari,Jambi,709.92,1.5631,140.5151,0.6043,163,266,429,124.28,1137.37,1261.64,0.76,4.28,102,231,279.9,1.87,Moderate,High
2010,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.0672,108,167,275,214.53,567.35,781.87,1.99,3.4,69,118,155.6,1.04,Moderate,Elevated
2011,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.1009,186,227,413,196.12,129.76,325.88,1.05,0.57,141,185,66.5,0.44,Moderate,Background
2012,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.1315,211,327,538,562.65,2177.12,2739.78,2.67,6.66,162,279,182.1,1.21,High,Elevated
2013,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.1366,224,335,559,691.45,3207.92,3899.37,3.09,9.58,156,293,154.2,1.03,High,Elevated
2014,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.1029,156,265,421,1511.61,2117.68,3629.29,9.69,7.99,113,215,159.5,1.06,Moderate,Elevated
2015,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.3947,632,983,1615,1715.49,5729.53,7445.03,2.71,5.83,410,811,320.8,2.14,Extreme,High
2016,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.0755,124,185,309,1034.3,784.35,1818.65,8.34,4.24,93,154,181.0,1.21,Moderate,Elevated
2017,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.1264,200,317,517,165.67,2984.49,3150.15,0.83,9.41,133,225,244.0,1.63,High,Elevated
2018,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.1129,199,263,462,398.52,1390.09,1788.61,2.0,5.29,122,207,219.5,1.46,Moderate,Elevated
2019,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.3224,489,830,1319,623.98,8490.73,9114.71,1.28,10.23,318,610,370.3,2.47,Extreme,High
2020,51,Bungo,Jambi,4091.45,-7.9705,104.2666,0.1244,172,337,509,1320.44,787.64,2108.08,7.68,2.34,113,293,164.8,1.1,High,Elevated
2010,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.0752,95,122,217,672.47,828.73,1501.2,7.08,6.79,58,86,99.6,0.66,Moderate,Background
2011,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.1691,205,283,488,244.78,639.8,884.59,1.19,2.26,127,198,207.8,1.39,Moderate,Elevated
2012,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.1837,226,304,530,1736.97,2565.43,4302.39,7.69,8.44,156,241,223.4,1.49,High,Elevated
2013,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.1462,153,269,422,362.52,1858.03,2220.55,2.37,6.91,117,191,56.0,0.37,Moderate,Background
2014,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.1851,229,305,534,1101.99,1148.31,2250.31,4.81,3.76,160,236,199.9,1.33,High,Elevated
2015,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.2759,319,477,796,4487.89,2524.91,7012.81,14.07,5.29,229,386,352.4,2.35,High,High
2016,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.0579,58,109,167,340.36,734.65,1075.01,5.87,6.74,44,95,144.1,0.96,Moderate,Background
2017,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.1923,243,312,555,1164.12,1495.2,2659.32,4.79,4.79,174,230,135.9,0.91,High,Background
2018,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.1348,152,237,389,198.38,1243.2,1441.58,1.31,5.25,94,174,219.0,1.46,Moderate,Elevated
2019,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.2973,318,540,858,1792.61,1716.67,3509.29,5.64,3.18,217,382,275.9,1.84,High,High
2020,52,Kerinci,Jambi,2885.61,-0.473,99.1165,0.1407,165,241,406,264.79,833.5,1098.29,1.6,3.46,101,192,197.8,1.32,Moderate,Elevated
2010,53,Merangin,Jambi,407.22,-7.6395,104.3554,0.6827,115,163,278,380.24,2318.55,2698.79,3.31,14.22,80,133,144.2,0.96,Moderate,Background
2011,53,Merangin,Jambi,407.22,-7.6395,104.3554,1.1051,200,250,450,1397.04,2729.18,4126.22,6.99,10.92,142,206,162.5,1.08,Moderate,Elevated
2012,53,Merangin,Jambi,407.22,-7.6395,104.3554,1.2966,209,319,528,190.5,183.18,373.68,0.91,0.57,152,275,194.0,1.29,High,Elevated
2013,53,Merangin,Jambi,407.22,-7.6395,104.3554,1.164,198,276,474,1039.46,439.43,1478.89,5.25,1.59,129,222,188.1,1.25,Moderate,Elevated
2014,53,Merangin,Jambi,407.22,-7.6395,104.3554,1.0093,166,245,411,2051.01,700.77,2751.79,12.36,2.86,118,186,174.8,1.17,Moderate,Elevated
2015,53,Merangin,Jambi,407.22,-7.6395,104.3554,2.053,353,483,836,600.92,525.64,1126.56,1.7,1.09,242,413,207.3,1.38,High,Elevated
2016,53,Merangin,Jambi,407.22,-7.6395,104.3554,0.7834,131,188,319,63.11,1001.5,1064.6,0.48,5.33,87,155,125.0,0.83,Moderate,Background
2017,53,Merangin,Jambi,407.22,-7.6395,104.3554,1.412,236,339,575,1057.71,1388.86,2446.57,4.48,4.1,158,270,186.3,1.24,High,Elevated
2018,53,Merangin,Jambi,407.22,-7.6395,104.3554,1.4047,242,330,572,2160.36,1178.05,3338.4,8.93,3.57,174,293,227.7,1.52,High,Elevated
2019,53,Merangin,Jambi,407.22,-7.6395,104.3554,2.2003,365,531,896,1562.98,3781.65,5344.63,4.28,7.12,286,414,223.1,1.49,High,Elevated
2020,53,Merangin,Jambi,407.22,-7.6395,104.3554,1.385,240,324,564,670.58,774.75,1445.33,2.79,2.39,158,259,245.7,1.64,High,Elevated
2010,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.0439,69,87,156,450.7,103.46,554.15,6.53,1.19,53,72,84.4,0.56,Moderate,Background
2011,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.1481,215,311,526,1161.36,1674.97,2836.33,5.4,5.39,171,275,176.2,1.17,High,Elevated
2012,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.1267,181,269,450,598.93,2423.51,3022.45,3.31,9.01,110,199,250.0,1.67,Moderate,Elevated
2013,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.1383,199,292,491,512.19,2050.25,2562.44,2.57,7.02,150,217,176.1,1.17,Moderate,Elevated
2014,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.1262,170,278,448,406.58,1644.27,2050.85,2.39,5.91,104,221,187.3,1.25,Moderate,Elevated
2015,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.2625,348,584,932,1901.27,2550.78,4452.05,5.46,4.37,234,416,96.1,0.64,High,Background
2016,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.0473,67,101,168,68.38,162.05,230.44,1.02,1.6,53,89,71.8,0.48,Moderate,Background
2017,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.1532,240,304,544,766.55,654.37,1420.92,3.19,2.15,162,246,193.2,1.29,High,Elevated
2018,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.1755,249,374,623,294.67,900.96,1195.63,1.18,2.41,197,304,110.6,0.74,High,Background
2019,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.2417,325,533,858,6032.2,1130.73,7162.93,18.56,2.12,239,381,185.2,1.23,High,Elevated
2020,54,Muaro Jambi,Jambi,3550.56,0.8598,114.4015,0.1186,165,256,421,2113.03,1927.29,4040.32,12.81,7.53,118,224,222.6,1.48,Moderate,Elevated
2010,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.1621,78,125,203,581.94,611.61,1193.55,7.46,4.89,47,108,100.6,0.67,Moderate,Background
2011,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.4072,217,293,510,4873.0,4642.51,9515.5,22.46,15.84,149,217,171.5,1.14,High,Elevated
2012,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.3241,158,248,406,592.34,1969.22,2561.56,3.75,7.94,105,211,160.2,1.07,Moderate,Elevated
2013,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.3816,198,280,478,123.61,2155.72,2279.32,0.62,7.7,157,245,161.9,1.08,Moderate,Elevated
2014,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.4463,248,311,559,638.62,763.04,1401.67,2.58,2.45,164,218,296.0,1.97,High,High
2015,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.6946,354,516,870,457.24,5356.16,5813.4,1.29,10.38,256,436,340.8,2.27,High,High
2016,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.218,118,155,273,270.22,552.91,823.14,2.29,3.57,94,123,173.4,1.16,Moderate,Elevated
2017,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.384,192,289,481,131.44,936.3,1067.73,0.68,3.24,120,240,244.7,1.63,Moderate,Elevated
2018,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.4263,207,327,534,2291.03,1609.5,3900.53,11.07,4.92,154,241,270.1,1.8,High,High
2019,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.6954,335,536,871,93.55,1518.17,1611.71,0.28,2.83,237,412,363.9,2.43,High,High
2020,55,Sarolangun,Jambi,1252.52,-4.8857,132.2104,0.3553,174,271,445,864.68,1897.58,2762.26,4.97,7.0,117,205,222.2,1.48,Moderate,Elevated
