year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.0437,25,39,64,11.74,112.51,124.25,0.47,2.88,16,28,128.3,0.86,Low,Background
2011,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.0902,52,80,132,370.14,629.2,999.34,7.12,7.87,33,59,157.2,1.05,Moderate,Elevated
2012,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.0854,51,74,125,199.89,208.42,408.31,3.92,2.82,37,58,191.6,1.28,Moderate,Elevated
2013,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.0833,40,82,122,145.32,115.4,260.72,3.63,1.41,27,66,146.2,0.97,Moderate,Background
2014,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.1024,73,77,150,388.25,824.72,1212.97,5.32,10.71,47,62,144.2,0.96,Moderate,Background
2015,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.2513,137,231,368,244.35,1879.67,2124.02,1.78,8.14,106,163,224.0,1.49,Moderate,Elevated
2016,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.0628,36,56,92,983.6,120.68,1104.28,27.32,2.16,24,43,113.6,0.76,Low,Background
2017,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.0847,39,85,124,256.26,258.65,514.9,6.57,3.04,24,62,148.1,0.99,Moderate,Background
2018,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.082,50,70,120,241.7,244.98,486.68,4.83,3.5,35,55,85.5,0.57,Moderate,Background
2019,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.2261,163,168,331,292.27,1688.07,1980.34,1.79,10.05,128,133,244.4,1.63,Moderate,Elevated
2020,114,Bandung,Jawa Barat,1464.2,0.6888,123.1208,0.0861,54,72,126,507.67,142.46,650.12,9.4,1.98,35,64,168.3,1.12,Moderate,Elevated
2010,115,Bekasi,Jawa Barat,2250.23,5.3946,133.1371,0.0316,23,48,71,84.29,94.49,178.78,3.66,1.97,17,39,150.7,1.0,Low,Elevated
2011,115,Bekasi,Jawa Barat,2250.23,5.3946,133.1371,0.0498,56,56,112,52.97,124.36,177.33,0.95,2.22,44,46,189.7,1.26,Moderate,Elevated
2012,115,Bekasi,Jawa Barat,2250.23,5.3946,133.1371,0.0662,56,93,149,326.45,933.16,1259.61,5.83,10.03,41,81,180.4,1.2,Moderate,Elevated
2013,115,Bekasi,Jawa Barat,2250.23,5.3946,133.1371,0.0555,47,78,125,239.99,478.31,718.3,5.11,6.13,28,57,122.8,0.82,Moderate,Background
2014,115,Bekasi,Jawa Barat,2250.23,5.3946,133.1371,0.0671,69,82,151,208.2,172.63,380.83,3.02,2.11,48,69,82.3,0.55,Moderate,Background
2015,115,Bekasi,Jawa Barat,2250.23,5.3946,133.1371,0.1573,124,230,354,187.37,3160.54,3347.91,1.51,13.74,83,177,300.0,2.0,Moderate,High
2016,115,Bekasi,Jawa Barat,2250.23,5.3946,133.1371,0.0347,31,47,78,41.31,126.47,167.77,1.33,2.69,23,37,126.7,0.84,Low,Background
