year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.0245,28,37,65,66.79,72.8,139.59,2.39,1.97,19,27,94.0,0.63,Low,Background
2011,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.0452,50,70,120,571.7,492.43,1064.13,11.43,7.03,36,49,192.8,1.29,Moderate,Elevated
2012,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.0478,47,80,127,201.96,219.46,421.41,4.3,2.74,35,56,166.0,1.11,Moderate,Elevated
2013,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.052,62,76,138,359.61,463.98,823.58,5.8,6.1,49,54,152.7,1.02,Moderate,Elevated
2014,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.0475,42,84,126,316.52,58.06,374.58,7.54,0.69,31,60,158.5,1.06,Moderate,Elevated
2015,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.0968,96,161,257,255.68,551.6,807.28,2.66,3.43,69,125,312.6,2.08,Moderate,High
2016,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.032,30,55,85,320.49,97.1,417.59,10.68,1.77,21,48,111.3,0.74,Low,Background
2017,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.0535,49,93,142,64.58,210.64,275.22,1.32,2.26,34,69,144.5,0.96,Moderate,Background
2018,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.0373,36,63,99,663.18,187.31,850.48,18.42,2.97,27,48,130.1,0.87,Low,Background
2019,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.1356,140,220,360,989.75,809.2,1798.94,7.07,3.68,90,190,188.4,1.26,Moderate,Elevated
2020,135,Semarang,Jawa Tengah,2654.26,-5.4368,130.786,0.0377,36,64,100,610.88,64.36,675.24,16.97,1.01,24,47,156.4,1.04,Low,Elevated
2010,136,Magelang,Jawa Tengah,503.29,-1.4056,121.4708,0.1291,27,38,65,74.77,175.38,250.15,2.77,4.62,18,33,103.8,0.69,Low,Background
2011,136,Magelang,Jawa Tengah,503.29,-1.4056,121.4708,0.2742,57,81,138,437.51,332.97,770.48,7.68,4.11,38,62,160.0,1.07,Moderate,Elevated
2012,136,Magelang,Jawa Tengah,503.29,-1.4056,121.4708,0.2027,42,60,102,172.88,134.81,307.68,4.12,2.25,28,52,90.8,0.61,Moderate,Background
