year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.016,16,24,40,96.98,408.94,505.92,6.06,17.04,11,19,57.8,0.39,Low,Background
2011,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.042,36,69,105,321.83,537.54,859.37,8.94,7.79,26,53,90.9,0.61,Moderate,Background
2012,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.0596,50,99,149,455.59,188.21,643.8,9.11,1.9,35,72,195.0,1.3,Moderate,Elevated
2013,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.046,46,69,115,428.54,294.9,723.45,9.32,4.27,32,61,200.5,1.34,Moderate,Elevated
2014,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.0548,53,84,137,89.15,62.93,152.08,1.68,0.75,35,72,110.1,0.73,Moderate,Background
2015,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.0916,100,129,229,781.39,401.17,1182.56,7.81,3.11,76,111,363.2,2.42,Moderate,High
2016,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.026,33,32,65,73.98,127.7,201.68,2.24,3.99,26,26,129.4,0.86,Low,Background
2017,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.054,57,78,135,115.98,76.49,192.47,2.03,0.98,41,66,98.2,0.65,Moderate,Background
2018,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.0472,46,72,118,414.75,564.51,979.26,9.02,7.84,33,62,121.0,0.81,Moderate,Background
2019,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.0724,89,92,181,437.49,1927.31,2364.8,4.92,20.95,59,75,215.2,1.43,Moderate,Elevated
2020,172,Surabaya,Jawa Timur,2500.64,2.734,135.5384,0.0592,65,83,148,185.48,244.97,430.45,2.85,2.95,45,72,239.4,1.6,Moderate,Elevated
2010,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.0158,29,39,68,391.79,30.56,422.35,13.51,0.78,22,30,52.1,0.35,Low,Background
2011,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.026,53,59,112,305.23,188.33,493.56,5.76,3.19,36,47,129.9,0.87,Moderate,Background
2012,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.0241,50,54,104,861.39,2618.18,3479.57,17.23,48.48,30,42,153.8,1.03,Moderate,Elevated
2013,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.022,40,55,95,190.92,505.99,696.92,4.77,9.2,29,40,213.5,1.42,Low,Elevated
2014,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.0274,54,64,118,1413.42,55.62,1469.04,26.17,0.87,42,57,138.0,0.92,Moderate,Background
2015,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.0522,83,142,225,351.22,668.87,1020.09,4.23,4.71,53,105,255.7,1.7,Moderate,High
2016,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.0183,26,53,79,92.0,75.61,167.61,3.54,1.43,18,45,138.3,0.92,Low,Background
2017,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.0218,45,49,94,429.61,233.53,663.13,9.55,4.77,33,41,120.9,0.81,Low,Background
2018,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.0274,50,68,118,361.0,648.09,1009.09,7.22,9.53,35,49,168.8,1.13,Moderate,Elevated
2019,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.0559,89,152,241,521.1,327.28,848.38,5.86,2.15,55,130,209.3,1.4,Moderate,Elevated
2020,173,Malang,Jawa Timur,4312.32,3.6319,105.2863,0.0322,62,77,139,322.11,451.57,773.69,5.2,5.86,48,56,217.4,1.45,Moderate,Elevated
2010,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.0304,34,42,76,246.24,122.11,368.35,7.24,2.91,21,30,140.0,0.93,Low,Background
2011,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.0396,30,69,99,396.01,276.01,672.01,13.2,4.0,20,56,138.4,0.92,Low,Background
2012,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.05,49,76,125,419.48,263.44,682.92,8.56,3.47,35,55,107.6,0.72,Moderate,Background
2013,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.0372,36,57,93,45.15,76.71,121.86,1.25,1.35,28,40,159.2,1.06,Low,Elevated
2014,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.0588,64,83,147,142.19,299.72,441.9,2.22,3.61,42,67,135.2,0.9,Moderate,Background
2015,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.086,67,148,215,314.33,2625.3,2939.63,4.69,17.74,52,117,252.7,1.68,Moderate,High
2016,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.0384,28,68,96,129.85,54.53,184.37,4.64,0.8,19,55,116.4,0.78,Low,Background
2017,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.0512,39,89,128,85.51,255.2,340.71,2.19,2.87,24,67,138.3,0.92,Moderate,Background
2018,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.04,35,65,100,648.12,218.85,866.97,18.52,3.37,22,54,168.9,1.13,Low,Elevated
2019,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.104,107,153,260,1214.36,379.61,1593.98,11.35,2.48,72,128,282.9,1.89,Moderate,High
2020,174,Madiun,Jawa Timur,2500.12,-0.3878,134.5237,0.0368,34,58,92,69.56,78.63,148.19,2.05,1.36,23,47,200.4,1.34,Low,Elevated
2010,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0159,32,47,79,252.02,84.27,336.29,7.88,1.79,25,33,130.3,0.87,Low,Background
2011,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0254,48,78,126,115.94,109.61,225.55,2.42,1.41,36,65,152.2,1.01,Moderate,Elevated
2012,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0165,32,50,82,201.81,114.39,316.2,6.31,2.29,23,43,134.4,0.9,Low,Background
2013,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0299,60,88,148,423.71,367.21,790.91,7.06,4.17,36,78,160.2,1.07,Moderate,Elevated
2014,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0238,37,81,118,58.94,310.99,369.92,1.59,3.84,22,56,130.9,0.87,Moderate,Background
2015,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0414,84,121,205,593.69,370.88,964.57,7.07,3.07,54,87,330.2,2.2,Moderate,High
2016,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0133,27,39,66,689.39,135.11,824.5,25.53,3.46,20,34,92.1,0.61,Low,Background
2017,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0246,51,71,122,182.47,349.1,531.57,3.58,4.92,32,61,169.9,1.13,Moderate,Elevated
2018,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0283,50,90,140,527.57,123.54,651.11,10.55,1.37,38,66,94.2,0.63,Moderate,Background
2019,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0813,179,224,403,411.51,2987.69,3399.2,2.3,13.34,119,178,152.9,1.02,Moderate,Elevated
2020,175,Kediri,Jawa Timur,4955.42,2.615,111.9639,0.0301,49,100,149,650.97,903.64,1554.61,13.29,9.04,34,75,144.2,0.96,Moderate,Background
2010,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.0295,14,25,39,150.83,187.33,338.15,10.77,7.49,10,21,180.0,1.2,Low,Elevated
2011,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.0665,28,60,88,67.39,132.09,199.48,2.41,2.2,17,45,152.6,1.02,Low,Elevated
2012,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.1051,49,90,139,188.68,888.83,1077.51,3.85,9.88,30,79,133.4,0.89,Moderate,Background
2013,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.1179,63,93,156,813.51,138.61,952.13,12.91,1.49,40,71,176.7,1.18,Moderate,Elevated
2014,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.1005,57,76,133,18.81,522.61,541.42,0.33,6.88,39,63,117.3,0.78,Moderate,Background
2015,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.2774,141,226,367,366.25,277.62,643.87,2.6,1.23,97,191,155.7,1.04,Moderate,Elevated
2016,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.0401,18,35,53,163.94,47.83,211.78,9.11,1.37,11,24,92.6,0.62,Low,Background
2017,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.0711,36,58,94,164.56,207.51,372.08,4.57,3.58,26,52,93.5,0.62,Low,Background
2018,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.0907,44,76,120,126.3,75.62,201.92,2.87,1.0,30,66,167.6,1.12,Moderate,Elevated
2019,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.2994,167,229,396,1082.62,412.57,1495.19,6.48,1.8,107,192,375.0,2.5,Moderate,High
2020,176,Blitar,Jawa Timur,1322.81,5.0011,102.8974,0.0915,49,72,121,190.13,327.31,517.44,3.88,4.55,36,51,223.7,1.49,Moderate,Elevated
2010,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0102,19,26,45,200.48,154.11,354.6,10.55,5.93,14,21,139.5,0.93,Low,Background
2011,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0266,43,74,117,125.93,416.44,542.38,2.93,5.63,29,64,110.1,0.73,Moderate,Background
2012,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0264,41,75,116,246.75,493.84,740.6,6.02,6.58,24,54,133.6,0.89,Moderate,Background
2013,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0264,48,68,116,99.42,882.51,981.94,2.07,12.98,31,55,140.4,0.94,Moderate,Background
2014,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0327,59,85,144,76.4,363.33,439.73,1.29,4.27,38,73,144.7,0.96,Moderate,Background
2015,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0773,158,182,340,3397.65,483.43,3881.08,21.5,2.66,107,128,361.7,2.41,Moderate,High
2016,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0139,21,40,61,51.28,196.23,247.51,2.44,4.91,15,33,88.1,0.59,Low,Background
2017,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0282,59,65,124,168.91,324.14,493.05,2.86,4.99,46,55,211.9,1.41,Moderate,Elevated
2018,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0239,50,55,105,102.78,788.76,891.54,2.06,14.34,30,40,87.0,0.58,Moderate,Background
2019,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.0664,135,157,292,1178.63,549.36,1727.99,8.73,3.5,99,126,371.9,2.48,Moderate,High
2020,177,Mojokerto,Jawa Timur,4399.96,-9.7783,138.0322,0.022,39,58,97,248.17,49.65,297.82,6.36,0.86,26,41,58.6,0.39,Low,Background
2010,178,Pasuruan,Jawa Timur,2549.93,2.7711,106.7975,0.018,18,28,46,48.45,44.99,93.44,2.69,1.61,14,21,116.4,0.78,Low,Background
2011,178,Pasuruan,Jawa Timur,2549.93,2.7711,106.7975,0.0584,63,86,149,207.16,690.96,898.13,3.29,8.03,47,66,215.6,1.44,Moderate,Elevated
