year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,1.2376,211,317,528,1498.22,1488.87,2987.08,7.1,4.7,155,223,213.3,1.42,High,Elevated
2011,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,2.6557,426,707,1133,3404.95,1433.16,4838.11,7.99,2.03,279,539,304.8,2.03,Extreme,High
2012,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,2.2666,377,590,967,813.75,4230.07,5043.82,2.16,7.17,285,476,379.4,2.53,High,High
2013,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,2.433,418,620,1038,1407.19,2290.32,3697.51,3.37,3.69,258,510,367.2,2.45,Extreme,High
2014,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,2.3205,391,599,990,1253.94,664.32,1918.25,3.21,1.11,258,514,336.9,2.25,High,High
2015,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,6.4036,1138,1594,2732,722.18,8060.21,8782.39,0.63,5.06,880,1246,643.7,4.29,Extreme,Severe
2016,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,1.2212,208,313,521,10338.89,3627.74,13966.63,49.71,11.59,162,247,229.4,1.53,High,Elevated
2017,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,2.9182,529,716,1245,1284.77,4915.34,6200.11,2.43,6.87,352,575,427.2,2.85,Extreme,Severe
2018,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,2.0626,339,541,880,7531.79,2443.05,9974.84,22.22,4.52,265,484,318.7,2.12,High,High
2019,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,4.7956,782,1264,2046,1072.44,2843.97,3916.41,1.37,2.25,558,1013,720.6,4.8,Extreme,Severe
2020,249,Pontianak,Kalimantan Barat,426.64,5.2521,115.1582,1.8962,357,452,809,13271.39,442.5,13713.9,37.17,0.98,261,368,314.4,2.1,High,High
2010,250,Singkawang,Kalimantan Barat,1432.63,-8.909,101.9158,0.4118,232,358,590,901.56,424.05,1325.61,3.89,1.18,171,284,217.3,1.45,High,Elevated
2011,250,Singkawang,Kalimantan Barat,1432.63,-8.909,101.9158,0.8013,461,687,1148,8499.37,1079.25,9578.62,18.44,1.57,354,498,210.2,1.4,Extreme,Elevated
