year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,5.2028,292,399,691,1146.22,1049.4,2195.62,3.93,2.63,190,285,360.3,2.4,High,High
2011,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,8.7792,479,687,1166,2226.03,1822.74,4048.77,4.65,2.65,302,566,322.2,2.15,Extreme,High
2012,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,6.1891,339,483,822,3629.27,2119.22,5748.5,10.71,4.39,213,345,278.9,1.86,High,High
2013,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,8.7717,458,707,1165,6234.1,873.29,7107.39,13.61,1.24,363,630,344.7,2.3,Extreme,High
2014,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,7.4616,400,591,991,6459.32,2372.69,8832.01,16.15,4.01,244,517,419.0,2.79,High,Severe
2015,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,11.8587,623,952,1575,745.12,16139.96,16885.09,1.2,16.95,489,752,273.5,1.82,Extreme,High
2016,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,3.8324,206,303,509,155.83,652.71,808.54,0.76,2.15,163,265,240.9,1.61,High,Elevated
2017,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,8.2446,445,650,1095,943.97,2534.13,3478.1,2.12,3.9,267,505,268.3,1.79,Extreme,High
2018,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,6.1213,333,480,813,855.66,958.03,1813.69,2.57,2.0,223,336,273.3,1.82,High,High
2019,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,16.5871,846,1357,2203,2649.71,18826.93,21476.64,3.13,13.87,535,1061,344.6,2.3,Extreme,High
2020,277,Banjarmasin,Kalimantan Selatan,132.81,-2.0636,128.664,6.5204,344,522,866,1361.86,3451.92,4813.78,3.96,6.61,241,399,368.6,2.46,High,High
2010,278,Banjarbaru,Kalimantan Selatan,2476.08,3.6803,113.9378,0.1959,191,294,485,1913.48,2484.61,4398.09,10.02,8.45,147,258,303.1,2.02,Moderate,High
2011,278,Banjarbaru,Kalimantan Selatan,2476.08,3.6803,113.9378,0.483,488,708,1196,3996.56,5926.37,9922.93,8.19,8.37,358,549,384.2,2.56,Extreme,High
2012,278,Banjarbaru,Kalimantan Selatan,2476.08,3.6803,113.9378,0.338,349,488,837,825.29,905.5,1730.78,2.36,1.86,235,351,496.9,3.31,High,Severe
2013,278,Banjarbaru,Kalimantan Selatan,2476.08,3.6803,113.9378,0.399,403,585,988,681.86,6391.56,7073.42,1.69,10.93,265,526,345.0,2.3,High,High
