year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,0.4985,581,831,1412,3026.39,3999.1,7025.5,5.21,4.81,421,638,304.8,2.03,Extreme,High
2011,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,0.7308,807,1263,2070,5348.96,8246.37,13595.33,6.63,6.53,507,1115,343.1,2.29,Extreme,High
2012,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,0.8201,966,1357,2323,5569.71,19507.5,25077.21,5.77,14.38,581,1124,193.2,1.29,Extreme,Elevated
2013,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,0.6715,743,1159,1902,2736.51,9547.42,12283.93,3.68,8.24,579,940,567.5,3.78,Extreme,Severe
2014,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,0.6235,681,1085,1766,763.34,2930.95,3694.29,1.12,2.7,434,843,467.0,3.11,Extreme,Severe
2015,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,1.3744,1576,2317,3893,5185.34,2372.1,7557.43,3.29,1.02,1011,1995,696.6,4.64,Extreme,Severe
2016,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,0.3986,423,706,1129,2071.89,10262.82,12334.71,4.9,14.54,299,545,284.2,1.89,Extreme,High
2017,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,0.573,646,977,1623,788.7,4748.1,5536.8,1.22,4.86,509,799,489.4,3.26,Extreme,Severe
2018,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,0.8035,907,1369,2276,49288.23,13260.17,62548.4,54.34,9.69,669,1029,424.0,2.83,Extreme,Severe
2019,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,2.0688,2402,3458,5860,14929.17,2902.08,17831.24,6.22,0.84,1557,2824,773.8,5.16,,Severe
2020,263,Palangka Raya,Kalimantan Tengah,2832.6,5.0452,133.3553,0.7481,870,1249,2119,3754.82,5876.74,9631.56,4.32,4.71,579,1093,438.7,2.92,Extreme,Severe
2010,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,1.2516,506,784,1290,4476.9,3607.72,8084.61,8.85,4.6,367,615,391.3,2.61,Extreme,High
2011,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,2.2326,919,1382,2301,2058.24,1886.74,3944.98,2.24,1.37,700,1226,219.9,1.47,Extreme,Elevated
2012,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,2.3276,1014,1385,2399,2385.71,4939.64,7325.35,2.35,3.57,757,1007,503.4,3.36,Extreme,Severe
2013,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,1.8968,762,1193,1955,16399.34,2380.4,18779.74,21.52,2.0,598,1007,398.9,2.66,Extreme,High
2014,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,2.0016,820,1243,2063,4657.66,1727.06,6384.72,5.68,1.39,492,944,301.6,2.01,Extreme,High
2015,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,5.5867,2278,3480,5758,22228.3,56794.54,79022.84,9.76,16.32,1388,3087,789.6,5.26,,Severe
2016,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,1.273,538,774,1312,3310.8,7787.38,11098.18,6.15,10.06,360,575,388.0,2.59,Extreme,High
2017,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,1.6533,674,1030,1704,13703.09,8290.41,21993.5,20.33,8.05,427,804,495.8,3.31,Extreme,Severe
2018,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,2.3994,1019,1454,2473,4668.3,5980.47,10648.77,4.58,4.11,792,1089,361.3,2.41,Extreme,High
2019,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,4.5466,1848,2838,4686,15552.78,11096.9,26649.68,8.42,3.91,1197,2170,330.9,2.21,Extreme,High
2020,264,Barito Selatan,Kalimantan Tengah,1030.66,4.6409,126.4729,1.7086,686,1075,1761,37218.81,6158.86,43377.68,54.25,5.73,520,941,376.7,2.51,Extreme,High
2010,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,0.337,520,751,1271,3752.08,1680.91,5433.0,7.22,2.24,354,625,316.3,2.11,Extreme,High
2011,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,0.4807,718,1095,1813,6046.37,2705.18,8751.55,8.42,2.47,441,934,123.7,0.82,Extreme,Background
2012,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,0.4205,615,971,1586,3797.49,696.4,4493.89,6.17,0.72,447,810,365.6,2.44,Extreme,High
2013,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,0.5677,873,1268,2141,5121.18,10894.11,16015.29,5.87,8.59,680,1075,285.5,1.9,Extreme,High
2014,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,0.4971,736,1139,1875,4900.89,2118.3,7019.19,6.66,1.86,544,860,553.5,3.69,Extreme,Severe
2015,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,1.0147,1596,2231,3827,9747.05,5905.07,15652.12,6.11,2.65,1241,1846,1073.7,7.16,Extreme,
2016,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,0.3447,510,790,1300,812.45,3067.12,3879.57,1.59,3.88,342,687,382.4,2.55,Extreme,High
2017,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,0.5801,847,1341,2188,8600.09,2966.64,11566.73,10.15,2.21,671,986,468.1,3.12,Extreme,Severe
2018,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,0.5557,815,1281,2096,6542.07,1777.49,8319.56,8.03,1.39,546,1097,376.4,2.51,Extreme,High
2019,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,1.3421,2086,2976,5062,15856.73,19984.36,35841.09,7.6,6.72,1640,2424,552.9,3.69,,Severe
2020,265,Barito Timur,Kalimantan Tengah,3771.58,-0.1155,115.026,0.4608,704,1034,1738,9352.49,12794.96,22147.44,13.28,12.37,491,729,446.1,2.97,Extreme,Severe
2010,266,Barito Utara,Kalimantan Tengah,4097.7,-2.1454,131.4932,0.1823,315,432,747,862.89,4023.38,4886.26,2.74,9.31,227,335,237.9,1.59,High,Elevated
2011,266,Barito Utara,Kalimantan Tengah,4097.7,-2.1454,131.4932,0.4058,656,1007,1663,925.84,5289.48,6215.31,1.41,5.25,402,839,380.0,2.53,Extreme,High
2012,266,Barito Utara,Kalimantan Tengah,4097.7,-2.1454,131.4932,0.4039,652,1003,1655,967.14,3848.92,4816.06,1.48,3.84,395,750,392.2,2.61,Extreme,High
2013,266,Barito Utara,Kalimantan Tengah,4097.7,-2.1454,131.4932,0.541,857,1360,2217,4531.15,10715.26,15246.41,5.29,7.88,522,1131,388.0,2.59,Extreme,High
2014,266,Barito Utara,Kalimantan Tengah,4097.7,-2.1454,131.4932,0.4593,748,1134,1882,17411.19,835.43,18246.62,23.28,0.74,558,947,551.7,3.68,Extreme,Severe
2015,266,Barito Utara,Kalimantan Tengah,4097.7,-2.1454,131.4932,0.84,1409,2033,3442,1041.7,4927.01,5968.71,0.74,2.42,1077,1727,982.6,6.55,Extreme,Severe
2016,266,Barito Utara,Kalimantan Tengah,4097.7,-2.1454,131.4932,0.174,285,428,713,416.63,587.52,1004.15,1.46,1.37,190,360,321.4,2.14,High,High
2017,266,Barito Utara,Kalimantan Tengah,4097.7,-2.1454,131.4932,0.4168,681,1027,1708,2442.41,3035.44,5477.85,3.59,2.96,489,865,342.7,2.28,Extreme,High
2018,266,Barito Utara,Kalimantan Tengah,4097.7,-2.1454,131.4932,0.5003,818,1232,2050,5273.54,14234.62,19508.16,6.45,11.55,527,919,455.3,3.04,Extreme,Severe
