year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,0.223,172,286,458,3035.76,1321.64,4357.4,17.65,4.62,128,203,290.4,1.94,Moderate,High
2011,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,0.5467,437,686,1123,2957.48,5632.43,8589.91,6.77,8.21,314,503,276.1,1.84,Extreme,High
2012,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,0.517,438,624,1062,1725.22,1979.19,3704.41,3.94,3.17,322,451,253.9,1.69,Extreme,High
2013,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,0.5423,452,662,1114,2165.91,1135.96,3301.87,4.79,1.72,324,485,253.5,1.69,Extreme,High
2014,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,0.4313,357,529,886,1127.15,3416.4,4543.56,3.16,6.46,262,460,345.3,2.3,High,High
2015,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,1.1415,992,1353,2345,10664.83,4472.76,15137.59,10.75,3.31,770,988,303.2,2.02,Extreme,High
2016,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,0.3247,262,405,667,3142.18,2909.82,6051.99,11.99,7.18,170,361,170.8,1.14,High,Elevated
2017,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,0.4001,323,499,822,1536.17,3216.14,4752.31,4.76,6.45,249,396,224.9,1.5,High,Elevated
2018,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,0.3943,325,485,810,595.5,2773.4,3368.91,1.83,5.72,204,358,301.0,2.01,High,High
2019,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,1.1518,972,1394,2366,3545.75,2234.02,5779.77,3.65,1.6,651,1107,665.8,4.44,Extreme,Severe
2020,290,Samarinda,Kalimantan Timur,2054.25,-2.2452,119.3693,0.5671,426,739,1165,250.11,1831.02,2081.13,0.59,2.48,296,639,367.3,2.45,Extreme,High
2010,291,Balikpapan,Kalimantan Timur,1619.46,-9.4952,122.1794,0.3754,241,367,608,2943.27,3325.87,6269.13,12.21,9.06,150,300,186.2,1.24,High,Elevated
2011,291,Balikpapan,Kalimantan Timur,1619.46,-9.4952,122.1794,0.5397,341,533,874,4697.67,1189.32,5886.99,13.78,2.23,257,416,385.9,2.57,High,High
