year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.0953,181,282,463,369.12,285.6,654.72,2.04,1.01,121,240,140.2,0.93,Moderate,Background
2011,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.1656,306,498,804,925.04,1093.6,2018.64,3.02,2.2,243,352,265.1,1.77,High,High
2012,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.2251,440,653,1093,8002.36,508.26,8510.62,18.19,0.78,324,516,84.6,0.56,Extreme,Background
2013,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.1672,318,494,812,1660.43,1751.0,3411.43,5.22,3.54,245,422,191.9,1.28,High,Elevated
2014,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.2267,441,660,1101,1785.28,2862.73,4648.0,4.05,4.34,337,559,164.9,1.1,Extreme,Elevated
2015,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.3509,666,1038,1704,1565.77,4306.16,5871.93,2.35,4.15,507,927,654.7,4.36,Extreme,Severe
2016,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.1415,285,402,687,1421.19,377.41,1798.61,4.99,0.94,216,308,226.3,1.51,High,Elevated
2017,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.1896,357,564,921,607.27,3799.54,4406.81,1.7,6.74,277,410,276.0,1.84,High,High
2018,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.222,423,655,1078,1774.05,6291.96,8066.02,4.19,9.61,255,582,381.6,2.54,Extreme,High
2019,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.5741,1160,1628,2788,8809.76,16694.66,25504.42,7.59,10.25,779,1236,593.9,3.96,Extreme,Severe
2020,300,Tarakan,Kalimantan Utara,4856.44,4.9293,100.1797,0.1905,372,553,925,8287.9,4499.68,12787.58,22.28,8.14,277,436,193.9,1.29,High,Elevated
2010,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,3.4607,209,336,545,167.65,2850.86,3018.51,0.8,8.48,131,280,200.7,1.34,High,Elevated
2011,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,5.2196,326,496,822,4313.48,2086.55,6400.03,13.23,4.21,249,390,275.1,1.83,High,High
2012,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,7.1881,449,683,1132,1482.57,2143.43,3626.0,3.3,3.14,310,515,488.8,3.26,Extreme,Severe
2013,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,6.6611,440,609,1049,3220.74,1749.56,4970.3,7.32,2.87,286,473,265.9,1.77,Extreme,High
2014,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,5.6514,349,541,890,627.42,6623.24,7250.66,1.8,12.24,255,396,328.0,2.19,High,High
2015,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,11.6013,723,1104,1827,509.36,4278.34,4787.71,0.7,3.88,522,885,565.3,3.77,Extreme,Severe
2016,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,4.2989,286,391,677,658.41,1072.45,1730.86,2.3,2.74,182,325,113.5,0.76,High,Background
2017,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,7.0738,464,650,1114,7985.13,7614.04,15599.16,17.21,11.71,312,555,305.4,2.04,Extreme,High
2018,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,6.0007,367,578,945,3821.39,1296.45,5117.83,10.41,2.24,258,426,317.3,2.12,High,High
2019,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,16.7955,1060,1585,2645,2702.28,4121.42,6823.7,2.55,2.6,643,1296,473.9,3.16,Extreme,Severe
2020,301,Bulungan,Kalimantan Utara,157.48,-8.4153,121.1452,5.6387,373,515,888,13277.48,2605.11,15882.59,35.6,5.06,224,426,317.6,2.12,High,High
2010,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.115,233,321,554,3902.92,902.14,4805.06,16.75,2.81,153,287,393.8,2.63,High,High
2011,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.2293,420,685,1105,3085.77,1632.58,4718.34,7.35,2.38,282,515,255.1,1.7,Extreme,High
2012,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.1978,371,582,953,10245.42,15007.64,25253.05,27.62,25.79,230,419,425.3,2.84,High,Severe
2013,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.1926,386,542,928,449.09,4400.14,4849.23,1.16,8.12,295,453,290.3,1.94,High,High
2014,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.2168,403,642,1045,779.66,2422.67,3202.33,1.93,3.77,251,498,351.5,2.34,Extreme,High
2015,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.43,834,1238,2072,6069.19,1153.77,7222.96,7.28,0.93,666,986,287.5,1.92,Extreme,High
2016,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.1116,218,320,538,1377.48,4239.63,5617.11,6.32,13.25,174,245,325.0,2.17,High,High
2017,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.2449,466,714,1180,386.05,1975.65,2361.7,0.83,2.77,311,554,387.6,2.58,Extreme,High
2018,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.1903,369,548,917,873.41,3874.62,4748.03,2.37,7.07,257,463,246.7,1.64,High,Elevated
2019,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.4306,854,1221,2075,2603.31,1232.85,3836.16,3.05,1.01,663,990,513.8,3.43,Extreme,Severe
2020,302,Malinau,Kalimantan Utara,4819.14,5.3839,128.2053,0.178,344,514,858,1846.73,1251.0,3097.73,5.37,2.43,268,392,230.8,1.54,High,Elevated
2010,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,0.2024,188,259,447,767.15,1509.33,2276.48,4.08,5.83,139,205,220.5,1.47,Moderate,Elevated
2011,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,0.4343,384,575,959,3122.15,2631.37,5753.51,8.13,4.58,243,503,296.3,1.98,High,High
2012,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,0.4981,436,664,1100,914.9,5669.59,6584.49,2.1,8.54,299,482,272.9,1.82,Extreme,High
2013,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,0.5099,432,694,1126,458.03,1156.26,1614.3,1.06,1.67,322,555,290.1,1.93,Extreme,High
2014,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,0.3863,345,508,853,2542.28,3544.8,6087.08,7.37,6.98,270,446,375.1,2.5,High,High
2015,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,1.1371,918,1593,2511,21009.54,19522.34,40531.88,22.89,12.26,724,1147,517.7,3.45,Extreme,Severe
2016,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,0.1381,128,177,305,422.62,1637.22,2059.84,3.3,9.25,77,157,230.8,1.54,Moderate,Elevated
2017,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,0.4356,398,564,962,2028.86,801.05,2829.91,5.1,1.42,265,450,275.0,1.83,High,High
2018,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,0.4768,428,625,1053,3078.44,1770.38,4848.83,7.19,2.83,285,478,229.2,1.53,Extreme,Elevated
2019,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,1.2277,1104,1607,2711,13927.86,28357.27,42285.12,12.62,17.65,881,1145,303.3,2.02,Extreme,High
2020,303,Nunukan,Kalimantan Utara,2208.24,-4.5826,128.9658,0.4121,383,527,910,74.66,2251.08,2325.74,0.19,4.27,262,383,171.5,1.14,High,Elevated
2010,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.2402,230,392,622,1440.05,761.86,2201.92,6.26,1.94,170,275,360.3,2.4,High,High
2011,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.4135,396,675,1071,954.69,6975.36,7930.04,2.41,10.33,282,583,168.4,1.12,Extreme,Elevated
2012,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.4491,479,684,1163,1604.88,7129.26,8734.14,3.35,10.42,361,513,375.1,2.5,Extreme,High
2013,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.3189,324,502,826,2309.88,855.63,3165.52,7.13,1.7,221,394,267.9,1.79,High,High
2014,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.4112,438,627,1065,4442.7,1332.02,5774.72,10.14,2.12,305,527,352.8,2.35,Extreme,High
2015,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.6676,755,974,1729,6084.45,2320.92,8405.37,8.06,2.38,532,739,383.2,2.55,Extreme,High
2016,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.185,188,291,479,1070.08,1786.13,2856.22,5.69,6.14,146,204,255.1,1.7,Moderate,High
2017,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.305,322,468,790,365.2,696.27,1061.47,1.13,1.49,247,412,289.6,1.93,High,High
2018,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.3224,338,497,835,441.21,707.24,1148.45,1.31,1.42,239,426,251.1,1.67,High,High
2019,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.9541,1003,1468,2471,4406.51,8604.39,13010.9,4.39,5.86,697,1300,506.2,3.37,Extreme,Severe
2020,304,Tana Tidung,Kalimantan Utara,2589.81,-8.1967,120.9872,0.2954,293,472,765,1074.46,3307.46,4381.92,3.67,7.01,233,409,422.2,2.81,High,Severe
