year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.0292,44,72,116,47.95,1665.86,1713.81,1.09,23.14,34,60,153.6,1.02,Moderate,Elevated
2011,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.1079,164,265,429,839.26,1295.19,2134.45,5.12,4.89,127,212,217.3,1.45,Moderate,Elevated
2012,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.096,158,224,382,276.38,333.33,609.71,1.75,1.49,122,198,134.3,0.9,Moderate,Background
2013,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.0955,154,226,380,345.76,2016.09,2361.85,2.25,8.92,99,196,152.5,1.02,Moderate,Elevated
2014,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.0732,106,185,291,742.2,297.89,1040.09,7.0,1.61,69,136,141.6,0.94,Moderate,Background
2015,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.1705,244,434,678,415.17,1077.71,1492.88,1.7,2.48,175,374,517.9,3.45,High,Severe
2016,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.0304,44,77,121,70.48,24.87,95.36,1.6,0.32,29,67,151.6,1.01,Moderate,Elevated
2017,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.1189,175,298,473,1954.39,1047.58,3001.97,11.17,3.52,110,266,209.5,1.4,Moderate,Elevated
2018,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.0943,156,219,375,2105.26,858.96,2964.22,13.5,3.92,94,167,182.4,1.22,Moderate,Elevated
2019,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.2104,375,462,837,2415.63,4354.92,6770.55,6.44,9.43,291,338,222.9,1.49,High,Elevated
2020,94,Pangkalpinang,Kepulauan Bangka Belitung,3977.46,5.1729,137.4259,0.1041,163,251,414,1706.97,1985.43,3692.4,10.47,7.91,111,184,116.3,0.78,Moderate,Background
2010,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.0379,78,107,185,188.43,599.37,787.8,2.42,5.6,59,75,72.0,0.48,Moderate,Background
2011,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.0747,152,212,364,1348.99,402.66,1751.65,8.87,1.9,92,182,140.5,0.94,Moderate,Background
2012,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.0894,167,269,436,376.03,2929.51,3305.55,2.25,10.89,121,200,272.5,1.82,Moderate,High
2013,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.0722,147,205,352,820.31,664.39,1484.7,5.58,3.24,105,184,89.3,0.6,Moderate,Background
2014,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.0572,108,171,279,404.76,2034.84,2439.59,3.75,11.9,85,134,249.1,1.66,Moderate,Elevated
2015,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.1614,328,459,787,3121.78,3699.11,6820.89,9.52,8.06,217,382,255.3,1.7,High,High
2016,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.0371,68,113,181,111.18,273.58,384.77,1.64,2.42,50,92,144.7,0.96,Moderate,Background
2017,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.0802,172,219,391,1145.39,484.61,1630.0,6.66,2.21,116,184,236.4,1.58,Moderate,Elevated
2018,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.0905,152,289,441,710.93,2667.76,3378.69,4.68,9.23,110,236,163.8,1.09,Moderate,Elevated
2019,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.17,334,495,829,1883.22,1951.02,3834.24,5.64,3.94,261,377,333.4,2.22,High,High
2020,95,Bangka,Kepulauan Bangka Belitung,4875.44,-7.7699,110.1575,0.0804,180,212,392,2957.41,419.28,3376.69,16.43,1.98,119,152,235.6,1.57,Moderate,Elevated
