year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.1995,392,565,957,649.99,4417.82,5067.81,1.66,7.82,274,482,257.8,1.72,High,High
2011,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.4559,877,1310,2187,7073.87,3504.01,10577.88,8.07,2.67,630,1121,276.3,1.84,Extreme,High
2012,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.4824,890,1424,2314,1099.61,12245.36,13344.97,1.24,8.6,665,1137,366.9,2.45,Extreme,High
2013,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.3546,701,1000,1701,10478.59,2971.94,13450.53,14.95,2.97,499,741,326.7,2.18,Extreme,High
2014,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.4769,954,1334,2288,14604.06,4885.57,19489.63,15.31,3.66,673,1091,283.9,1.89,Extreme,High
2015,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,1.0583,2005,3072,5077,3261.17,9718.42,12979.59,1.63,3.16,1466,2157,724.2,4.83,,Severe
2016,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.2268,446,642,1088,5214.68,2017.46,7232.13,11.69,3.14,315,546,158.5,1.06,Extreme,Elevated
2017,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.3846,750,1095,1845,3366.93,859.14,4226.08,4.49,0.78,535,773,327.2,2.18,Extreme,High
2018,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.4009,747,1176,1923,5393.81,6803.23,12197.05,7.22,5.79,492,998,421.2,2.81,Extreme,Severe
2019,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.8467,1663,2399,4062,55166.57,6019.99,61186.56,33.17,2.51,1326,1931,547.1,3.65,Extreme,Severe
2020,101,Batam,Kepulauan Riau,4797.21,2.2771,116.0724,0.3694,702,1070,1772,3600.09,17030.14,20630.23,5.13,15.92,483,843,605.3,4.04,Extreme,Severe
2010,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,0.5648,363,522,885,501.08,5515.55,6016.63,1.38,10.57,258,440,394.3,2.63,High,High
2011,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,1.5686,939,1519,2458,4371.62,2195.37,6566.99,4.66,1.45,628,1110,509.0,3.39,Extreme,Severe
2012,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,1.21,739,1157,1896,832.11,4157.48,4989.6,1.13,3.59,550,853,543.6,3.62,Extreme,Severe
2013,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,1.4972,944,1402,2346,3394.41,57202.87,60597.29,3.6,40.8,636,1187,290.8,1.94,Extreme,High
2014,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,1.1768,721,1123,1844,825.77,1125.17,1950.94,1.15,1.0,478,970,232.7,1.55,Extreme,Elevated
2015,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,2.3389,1441,2224,3665,12579.39,41792.12,54371.51,8.73,18.79,1002,1893,680.3,4.54,Extreme,Severe
2016,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,0.4716,281,458,739,310.46,6307.47,6617.93,1.1,13.77,195,371,330.8,2.21,High,High
2017,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,1.2298,753,1174,1927,3208.88,15669.49,18878.37,4.26,13.35,497,874,216.6,1.44,Extreme,Elevated
2018,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,1.1417,715,1074,1789,24577.24,2075.49,26652.73,34.37,1.93,547,917,580.8,3.87,Extreme,Severe
2019,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,2.4621,1498,2360,3858,9926.7,4810.52,14737.22,6.63,2.04,1028,1812,1025.1,6.83,Extreme,
2020,102,Tanjungpinang,Kepulauan Riau,1566.97,0.6903,123.5753,1.4321,880,1364,2244,1624.54,5211.98,6836.52,1.85,3.82,656,1071,394.1,2.63,Extreme,High
2010,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,0.6061,484,759,1243,4554.05,4685.13,9239.19,9.41,6.17,346,605,288.2,1.92,Extreme,High
2011,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,0.8392,678,1043,1721,1748.74,7518.62,9267.36,2.58,7.21,438,824,266.3,1.78,Extreme,High
2012,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,0.8953,740,1096,1836,469.64,1471.36,1941.0,0.63,1.34,561,813,545.0,3.63,Extreme,Severe
2013,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,0.9426,789,1144,1933,6859.71,2997.47,9857.18,8.69,2.62,615,955,340.2,2.27,Extreme,High
2014,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,1.0235,827,1272,2099,2300.15,9169.73,11469.88,2.78,7.21,520,1138,474.2,3.16,Extreme,Severe
2015,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,2.6108,2283,3071,5354,12860.55,12641.82,25502.37,5.63,4.12,1771,2380,1202.4,8.02,,
2016,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,0.6793,552,841,1393,4899.31,1990.86,6890.16,8.88,2.37,437,670,369.1,2.46,Extreme,High
2017,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,0.8139,663,1006,1669,2549.01,2642.81,5191.83,3.84,2.63,484,785,482.9,3.22,Extreme,Severe
2018,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,0.9845,795,1224,2019,26125.87,2617.96,28743.83,32.86,2.14,574,1071,348.2,2.32,Extreme,High
2019,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,2.7083,2091,3463,5554,3951.29,8239.89,12191.18,1.89,2.38,1443,2680,615.7,4.1,,Severe
2020,103,Bintan,Kepulauan Riau,2050.71,-7.4336,137.8189,1.1186,919,1375,2294,3920.53,7242.03,11162.55,4.27,5.27,628,1013,392.4,2.62,Extreme,High
2010,104,Karimun,Kepulauan Riau,866.18,-6.9086,115.2843,0.7493,261,388,649,2173.62,395.11,2568.73,8.33,1.02,170,271,461.8,3.08,High,Severe
2011,104,Karimun,Kepulauan Riau,866.18,-6.9086,115.2843,2.698,932,1405,2337,15139.21,3952.16,19091.36,16.24,2.81,677,1073,439.3,2.93,Extreme,Severe
2012,104,Karimun,Kepulauan Riau,866.18,-6.9086,115.2843,2.5156,867,1312,2179,8319.5,2063.81,10383.31,9.6,1.57,591,977,398.7,2.66,Extreme,High
2013,104,Karimun,Kepulauan Riau,866.18,-6.9086,115.2843,2.3205,831,1179,2010,1720.74,4186.1,5906.84,2.07,3.55,539,932,226.6,1.51,Extreme,Elevated
