year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.0576,53,80,133,407.45,167.81,575.26,7.69,2.1,40,59,115.9,0.77,Moderate,Background
2011,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.177,161,248,409,3154.76,2106.13,5260.89,19.59,8.49,127,204,86.4,0.58,Moderate,Background
2012,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.1688,153,237,390,966.19,838.72,1804.91,6.31,3.54,104,207,205.2,1.37,Moderate,Elevated
2013,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.1437,129,203,332,181.36,1257.97,1439.33,1.41,6.2,79,179,198.2,1.32,Moderate,Elevated
2014,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.1779,152,259,411,3732.28,364.7,4096.98,24.55,1.41,114,229,114.1,0.76,Moderate,Background
2015,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.2762,243,395,638,1179.1,983.37,2162.47,4.85,2.49,165,315,315.1,2.1,High,High
2016,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.0879,81,122,203,561.1,1353.87,1914.98,6.93,11.1,56,87,158.0,1.05,Moderate,Elevated
2017,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.1312,117,186,303,615.64,2093.89,2709.53,5.26,11.26,72,131,282.0,1.88,Moderate,High
2018,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.2,156,306,462,4334.52,893.98,5228.5,27.79,2.92,94,274,117.5,0.78,Moderate,Background
2019,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.3164,290,441,731,2241.34,3413.44,5654.79,7.73,7.74,189,326,161.5,1.08,High,Elevated
2020,385,Ambon,Maluku,2310.15,4.0366,109.6395,0.171,154,241,395,405.51,1069.86,1475.37,2.63,4.44,107,173,180.6,1.2,Moderate,Elevated
2010,386,Tual,Maluku,230.15,-6.33,126.8336,0.6344,56,90,146,480.59,74.62,555.21,8.58,0.83,41,76,174.9,1.17,Moderate,Elevated
2011,386,Tual,Maluku,230.15,-6.33,126.8336,1.4425,128,204,332,237.76,1617.56,1855.32,1.86,7.93,90,156,243.1,1.62,Moderate,Elevated
2012,386,Tual,Maluku,230.15,-6.33,126.8336,1.5077,140,207,347,1009.58,1011.05,2020.63,7.21,4.88,94,183,208.7,1.39,Moderate,Elevated
2013,386,Tual,Maluku,230.15,-6.33,126.8336,1.7424,157,244,401,1905.39,442.66,2348.05,12.14,1.81,107,185,140.9,0.94,Moderate,Background
2014,386,Tual,Maluku,230.15,-6.33,126.8336,1.5859,150,215,365,1766.99,599.81,2366.79,11.78,2.79,109,180,201.2,1.34,Moderate,Elevated
