year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.0665,98,151,249,522.76,538.05,1060.81,5.33,3.56,60,113,176.3,1.18,Moderate,Elevated
2011,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.1226,174,285,459,976.4,2246.54,3222.94,5.61,7.88,129,239,180.1,1.2,Moderate,Elevated
2012,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.0852,127,192,319,473.2,1118.56,1591.76,3.73,5.83,78,141,334.0,2.23,Moderate,High
2013,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.0975,128,237,365,986.38,234.76,1221.14,7.71,0.99,91,172,100.5,0.67,Moderate,Background
2014,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.0847,127,190,317,743.33,197.78,941.12,5.85,1.04,99,157,171.2,1.14,Moderate,Elevated
2015,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.305,524,618,1142,1680.12,1121.65,2801.77,3.21,1.81,409,462,221.0,1.47,Extreme,Elevated
2016,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.0737,110,166,276,802.42,776.71,1579.13,7.29,4.68,71,121,128.5,0.86,Moderate,Background
2017,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.0978,145,221,366,182.25,4728.09,4910.33,1.26,21.39,100,174,134.3,0.9,Moderate,Background
2018,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.1044,154,237,391,269.3,1504.1,1773.4,1.75,6.35,118,197,159.4,1.06,Moderate,Elevated
2019,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.2124,309,486,795,1496.55,1636.43,3132.98,4.84,3.37,239,367,212.1,1.41,High,Elevated
2020,396,Ternate,Maluku Utara,3743.72,-8.8582,115.8989,0.1157,166,267,433,837.79,1772.98,2610.77,5.05,6.64,108,222,96.4,0.64,Moderate,Background
2010,397,Tidore Kepulauan,Maluku Utara,2513.86,-10.4697,135.7845,0.0955,85,155,240,77.31,169.72,247.03,0.91,1.09,65,112,154.7,1.03,Moderate,Elevated
2011,397,Tidore Kepulauan,Maluku Utara,2513.86,-10.4697,135.7845,0.1321,139,193,332,3309.81,664.86,3974.67,23.81,3.44,104,135,118.8,0.79,Moderate,Background
2012,397,Tidore Kepulauan,Maluku Utara,2513.86,-10.4697,135.7845,0.1559,171,221,392,266.34,1137.58,1403.91,1.56,5.15,131,195,98.2,0.65,Moderate,Background
