year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.0399,63,102,165,874.32,524.33,1398.65,13.88,5.14,47,87,165.4,1.1,Moderate,Elevated
2011,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.0726,113,187,300,2838.34,1960.81,4799.15,25.12,10.49,78,136,140.6,0.94,Moderate,Background
2012,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.0924,164,218,382,437.51,913.33,1350.84,2.67,4.19,112,184,265.7,1.77,Moderate,High
2013,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.0893,152,217,369,917.76,3665.09,4582.85,6.04,16.89,102,191,192.0,1.28,Moderate,Elevated
2014,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.0924,141,241,382,60.86,278.29,339.15,0.43,1.15,91,179,223.7,1.49,Moderate,Elevated
2015,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.1597,263,397,660,986.48,1467.13,2453.61,3.75,3.7,161,315,319.4,2.13,High,High
2016,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.0474,75,121,196,274.36,460.27,734.63,3.66,3.8,47,104,220.7,1.47,Moderate,Elevated
2017,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.0905,171,203,374,750.11,1871.71,2621.82,4.39,9.22,104,157,84.9,0.57,Moderate,Background
2018,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.0796,134,195,329,391.35,1053.9,1445.24,2.92,5.4,99,155,153.2,1.02,Moderate,Elevated
2019,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.2761,438,703,1141,624.67,9333.09,9957.76,1.43,13.28,305,520,339.0,2.26,Extreme,High
2020,218,Mataram,Nusa Tenggara Barat,4132.68,-10.3505,123.5159,0.1014,168,251,419,3040.48,650.33,3690.81,18.1,2.59,115,193,288.9,1.93,Moderate,High
2010,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.0657,44,65,109,413.0,201.79,614.78,9.39,3.1,29,49,191.8,1.28,Moderate,Elevated
2011,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.196,127,198,325,1008.13,776.66,1784.79,7.94,3.92,90,174,253.4,1.69,Moderate,High
2012,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.2309,154,229,383,6145.06,531.4,6676.46,39.9,2.32,122,182,133.5,0.89,Moderate,Background
2013,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.243,151,252,403,348.69,553.58,902.27,2.31,2.2,91,194,263.8,1.76,Moderate,High
2014,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.1863,126,183,309,593.34,779.93,1373.27,4.71,4.26,98,129,327.0,2.18,Moderate,High
2015,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.3853,234,405,639,1434.58,15622.09,17056.67,6.13,38.57,150,362,429.5,2.86,High,Severe
2016,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.1266,78,132,210,424.99,518.48,943.47,5.45,3.93,60,104,136.5,0.91,Moderate,Background
2017,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.1839,125,180,305,4241.8,1316.61,5558.41,33.93,7.31,99,152,167.1,1.11,Moderate,Elevated
2018,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.2515,157,260,417,2543.98,394.9,2938.88,16.2,1.52,125,224,155.1,1.03,Moderate,Elevated
2019,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.5053,358,480,838,1709.11,1331.71,3040.82,4.77,2.77,281,377,224.5,1.5,High,Elevated
2020,219,Bima,Nusa Tenggara Barat,1658.37,-7.8172,99.5172,0.2062,139,203,342,802.87,260.53,1063.4,5.78,1.28,89,161,135.1,0.9,Moderate,Background
2010,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,0.2265,44,65,109,413.0,201.79,614.78,9.39,3.1,29,49,191.8,1.28,Moderate,Elevated
2011,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,0.6753,127,198,325,1008.13,776.66,1784.79,7.94,3.92,90,174,253.4,1.69,Moderate,High
2012,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,0.7958,154,229,383,6145.06,531.4,6676.46,39.9,2.32,122,182,133.5,0.89,Moderate,Background
2013,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,0.8374,151,252,403,348.69,553.58,902.27,2.31,2.2,91,194,263.8,1.76,Moderate,High
2014,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,0.6421,126,183,309,593.34,779.93,1373.27,4.71,4.26,98,129,327.0,2.18,Moderate,High
2015,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,1.3278,234,405,639,1434.58,15622.09,17056.67,6.13,38.57,150,362,429.5,2.86,High,Severe
2016,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,0.4364,78,132,210,424.99,518.48,943.47,5.45,3.93,60,104,136.5,0.91,Moderate,Background
2017,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,0.6338,125,180,305,4241.8,1316.61,5558.41,33.93,7.31,99,152,167.1,1.11,Moderate,Elevated
2018,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,0.8665,157,260,417,2543.98,394.9,2938.88,16.2,1.52,125,224,155.1,1.03,Moderate,Elevated
2019,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,1.7413,358,480,838,1709.11,1331.71,3040.82,4.77,2.77,281,377,224.5,1.5,High,Elevated
2020,220,Bima,Nusa Tenggara Barat,481.26,-2.3588,138.3271,0.7106,139,203,342,802.87,260.53,1063.4,5.78,1.28,89,161,135.1,0.9,Moderate,Background
2010,221,Dompu,Nusa Tenggara Barat,3680.04,-2.7014,134.5811,0.0682,94,157,251,245.97,114.31,360.27,2.62,0.73,64,137,212.1,1.41,Moderate,Elevated
2011,221,Dompu,Nusa Tenggara Barat,3680.04,-2.7014,134.5811,0.1057,155,234,389,455.93,1113.9,1569.83,2.94,4.76,95,188,175.0,1.17,Moderate,Elevated
2012,221,Dompu,Nusa Tenggara Barat,3680.04,-2.7014,134.5811,0.0927,130,211,341,682.9,829.59,1512.49,5.25,3.93,98,175,210.2,1.4,Moderate,Elevated
2013,221,Dompu,Nusa Tenggara Barat,3680.04,-2.7014,134.5811,0.1019,136,239,375,315.85,364.34,680.19,2.32,1.52,84,169,168.1,1.12,Moderate,Elevated
2014,221,Dompu,Nusa Tenggara Barat,3680.04,-2.7014,134.5811,0.1149,168,255,423,102.8,5651.63,5754.43,0.61,22.16,101,205,187.7,1.25,Moderate,Elevated
2015,221,Dompu,Nusa Tenggara Barat,3680.04,-2.7014,134.5811,0.2636,368,602,970,647.25,1850.44,2497.69,1.76,3.07,292,528,158.1,1.05,High,Elevated
2016,221,Dompu,Nusa Tenggara Barat,3680.04,-2.7014,134.5811,0.0467,64,108,172,1157.55,930.68,2088.23,18.09,8.62,40,83,165.7,1.1,Moderate,Elevated
2017,221,Dompu,Nusa Tenggara Barat,3680.04,-2.7014,134.5811,0.1152,164,260,424,171.21,534.91,706.12,1.04,2.06,125,220,141.2,0.94,Moderate,Background
