year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.0429,78,107,185,208.23,740.53,948.76,2.67,6.92,59,94,138.8,0.93,Moderate,Background
2011,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.097,175,243,418,292.91,3961.9,4254.81,1.67,16.3,106,190,224.5,1.5,Moderate,Elevated
2012,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.0898,159,228,387,234.78,884.02,1118.8,1.48,3.88,126,191,104.6,0.7,Moderate,Background
2013,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.0868,148,226,374,184.77,1384.22,1569.0,1.25,6.12,97,188,106.2,0.71,Moderate,Background
2014,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.0984,158,266,424,1618.92,839.35,2458.27,10.25,3.16,97,232,133.6,0.89,Moderate,Background
2015,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.1868,322,483,805,400.03,2684.06,3084.1,1.24,5.56,244,412,273.3,1.82,High,High
2016,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.0592,103,152,255,89.99,2364.67,2454.67,0.87,15.56,79,131,50.0,0.33,Moderate,Background
2017,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.0896,163,223,386,1111.72,1951.62,3063.35,6.82,8.75,112,195,187.2,1.25,Moderate,Elevated
2018,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.0731,134,181,315,195.61,601.68,797.29,1.46,3.32,94,131,223.9,1.49,Moderate,Elevated
2019,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.1476,265,371,636,689.97,485.01,1174.98,2.6,1.31,170,295,319.6,2.13,High,High
2020,228,Kupang,Nusa Tenggara Timur,4308.59,4.0569,121.2462,0.0719,129,181,310,1583.29,1393.73,2977.02,12.27,7.7,95,129,256.0,1.71,Moderate,High
2010,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.0492,61,73,134,752.34,226.91,979.24,12.33,3.11,46,57,172.0,1.15,Moderate,Elevated
2011,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.1112,121,182,303,230.63,521.42,752.05,1.91,2.86,82,139,192.7,1.28,Moderate,Elevated
2012,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.1318,136,223,359,540.48,789.52,1330.0,3.97,3.54,90,193,196.5,1.31,Moderate,Elevated
2013,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.1549,146,276,422,353.59,2095.06,2448.65,2.42,7.59,88,230,225.9,1.51,Moderate,Elevated
2014,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.1645,157,291,448,1056.69,950.54,2007.23,6.73,3.27,105,256,140.1,0.93,Moderate,Background
2015,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.297,339,470,809,4842.22,2304.76,7146.97,14.28,4.9,205,335,422.6,2.82,High,Severe
2016,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.083,91,135,226,2418.35,4435.98,6854.33,26.58,32.86,56,106,146.4,0.98,Moderate,Background
2017,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.1193,136,189,325,2551.05,988.74,3539.8,18.76,5.23,98,154,256.3,1.71,Moderate,High
2018,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.1531,171,246,417,1434.58,485.04,1919.62,8.39,1.97,102,218,187.8,1.25,Moderate,Elevated
2019,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.232,277,355,632,114.17,1662.1,1776.27,0.41,4.68,183,315,505.0,3.37,High,Severe
2020,229,Alor,Nusa Tenggara Timur,2723.66,4.1369,111.4246,0.1153,115,199,314,625.74,1814.45,2440.19,5.44,9.12,83,178,155.3,1.04,Moderate,Elevated
2010,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.0528,52,74,126,49.9,58.34,108.24,0.96,0.79,41,65,97.2,0.65,Moderate,Background
2011,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.1495,150,207,357,354.28,470.65,824.93,2.36,2.27,90,150,202.5,1.35,Moderate,Elevated
2012,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.1876,176,272,448,3525.59,377.59,3903.18,20.03,1.39,122,239,199.2,1.33,Moderate,Elevated
2013,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.1763,168,253,421,2402.64,2192.98,4595.61,14.3,8.67,104,188,193.4,1.29,Moderate,Elevated
2014,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.157,144,231,375,602.21,677.32,1279.52,4.18,2.93,106,203,210.6,1.4,Moderate,Elevated
2015,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.2906,290,404,694,279.26,2971.57,3250.83,0.96,7.36,222,318,249.4,1.66,High,Elevated
2016,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.1047,100,150,250,519.31,426.32,945.64,5.19,2.84,72,127,82.4,0.55,Moderate,Background
2017,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.1771,179,244,423,1210.48,1550.35,2760.82,6.76,6.35,127,186,140.5,0.94,Moderate,Background
2018,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.1842,171,269,440,497.75,1922.58,2420.33,2.91,7.15,132,219,198.4,1.32,Moderate,Elevated
2019,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.4442,464,597,1061,935.96,28401.38,29337.34,2.02,47.57,321,426,301.6,2.01,Extreme,High
2020,230,Belu,Nusa Tenggara Timur,2388.5,5.3202,115.9772,0.1327,126,191,317,1913.0,485.62,2398.62,15.18,2.54,91,149,254.3,1.7,Moderate,High
2010,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.0929,108,167,275,204.28,264.27,468.55,1.89,1.58,72,119,156.1,1.04,Moderate,Elevated
2011,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.1521,178,272,450,849.56,572.33,1421.89,4.77,2.1,117,232,189.8,1.27,Moderate,Elevated
2012,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.1457,181,250,431,378.75,460.81,839.56,2.09,1.84,130,204,135.9,0.91,Moderate,Background
2013,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.1386,187,223,410,977.01,162.04,1139.04,5.22,0.73,134,184,174.0,1.16,Moderate,Elevated
2014,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.1511,179,268,447,10332.51,986.25,11318.76,57.72,3.68,107,212,172.7,1.15,Moderate,Elevated
2015,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.3048,339,563,902,1537.39,2499.87,4037.26,4.54,4.44,220,495,273.3,1.82,High,High
2016,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.0591,74,101,175,246.1,313.56,559.66,3.33,3.1,45,76,118.1,0.79,Moderate,Background
2017,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.1365,173,231,404,14236.97,782.62,15019.58,82.29,3.39,107,204,72.3,0.48,Moderate,Background
2018,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.1257,147,225,372,410.59,1926.05,2336.64,2.79,8.56,100,186,216.1,1.44,Moderate,Elevated
2019,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.268,324,469,793,1680.03,1604.23,3284.26,5.19,3.42,200,421,325.2,2.17,High,High
2020,231,Ende,Nusa Tenggara Timur,2959.0,-2.6094,120.2148,0.1419,152,268,420,579.14,581.74,1160.87,3.81,2.17,94,211,173.8,1.16,Moderate,Elevated
2010,232,Flores Timur,Nusa Tenggara Timur,4372.12,1.0095,120.9576,0.0281,51,72,123,550.9,465.39,1016.28,10.8,6.46,39,53,92.7,0.62,Moderate,Background
2011,232,Flores Timur,Nusa Tenggara Timur,4372.12,1.0095,120.9576,0.1144,195,305,500,1921.21,544.03,2465.24,9.85,1.78,129,240,92.2,0.61,Moderate,Background
2012,232,Flores Timur,Nusa Tenggara Timur,4372.12,1.0095,120.9576,0.0769,131,205,336,36.9,585.98,622.89,0.28,2.86,87,162,165.2,1.1,Moderate,Elevated
2013,232,Flores Timur,Nusa Tenggara Timur,4372.12,1.0095,120.9576,0.0892,153,237,390,1127.25,170.13,1297.38,7.37,0.72,102,192,198.7,1.32,Moderate,Elevated
2014,232,Flores Timur,Nusa Tenggara Timur,4372.12,1.0095,120.9576,0.0883,157,229,386,234.1,864.71,1098.81,1.49,3.78,108,193,171.1,1.14,Moderate,Elevated
2015,232,Flores Timur,Nusa Tenggara Timur,4372.12,1.0095,120.9576,0.263,514,636,1150,4920.37,6764.49,11684.86,9.57,10.64,325,461,153.2,1.02,Extreme,Elevated
2016,232,Flores Timur,Nusa Tenggara Timur,4372.12,1.0095,120.9576,0.0595,99,161,260,265.0,416.89,681.89,2.68,2.59,73,115,188.8,1.26,Moderate,Elevated
2017,232,Flores Timur,Nusa Tenggara Timur,4372.12,1.0095,120.9576,0.0892,153,237,390,513.67,1187.33,1701.0,3.36,5.01,109,199,154.6,1.03,Moderate,Elevated
