year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.0636,77,107,184,814.69,1343.74,2158.42,10.58,12.56,50,79,252.6,1.68,Moderate,High
2011,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.1151,131,202,333,1917.16,671.57,2588.73,14.63,3.32,91,167,228.1,1.52,Moderate,Elevated
2012,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.1247,138,223,361,2118.17,3616.28,5734.45,15.35,16.22,108,195,208.2,1.39,Moderate,Elevated
2013,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.1216,132,220,352,1565.3,923.57,2488.86,11.86,4.2,105,195,226.7,1.51,Moderate,Elevated
2014,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.1081,122,191,313,290.07,426.27,716.34,2.38,2.23,79,148,130.4,0.87,Moderate,Background
2015,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.2913,373,470,843,512.26,810.57,1322.83,1.37,1.72,282,385,357.5,2.38,High,High
2016,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.0384,46,65,111,248.25,98.57,346.83,5.4,1.52,29,58,283.8,1.89,Moderate,High
2017,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.152,188,252,440,1144.04,521.72,1665.76,6.09,2.07,136,195,178.2,1.19,Moderate,Elevated
2018,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.1489,173,258,431,1033.14,1215.27,2248.41,5.97,4.71,135,213,151.0,1.01,Moderate,Elevated
2019,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.2436,280,425,705,2102.11,2152.22,4254.34,7.51,5.06,174,337,262.8,1.75,High,High
2020,417,Jayapura,Papua,2894.25,0.1407,134.2071,0.1306,146,232,378,531.41,315.17,846.59,3.64,1.36,91,165,159.6,1.06,Moderate,Elevated
2010,418,Merauke,Papua,4678.37,-6.472,95.8727,0.0366,68,103,171,187.84,1294.76,1482.6,2.76,12.57,45,87,116.8,0.78,Moderate,Background
2011,418,Merauke,Papua,4678.37,-6.472,95.8727,0.0693,131,193,324,349.93,1581.08,1931.01,2.67,8.19,100,135,118.8,0.79,Moderate,Background
2012,418,Merauke,Papua,4678.37,-6.472,95.8727,0.0859,149,253,402,1030.89,1184.91,2215.8,6.92,4.68,104,190,159.7,1.06,Moderate,Elevated
2013,418,Merauke,Papua,4678.37,-6.472,95.8727,0.0722,132,206,338,586.66,307.86,894.52,4.44,1.49,95,168,174.6,1.16,Moderate,Elevated
2014,418,Merauke,Papua,4678.37,-6.472,95.8727,0.071,125,207,332,498.49,464.86,963.35,3.99,2.25,78,157,115.7,0.77,Moderate,Background
2015,418,Merauke,Papua,4678.37,-6.472,95.8727,0.137,260,381,641,2281.08,645.81,2926.89,8.77,1.7,187,279,255.5,1.7,High,High
2016,418,Merauke,Papua,4678.37,-6.472,95.8727,0.0261,49,73,122,104.91,69.87,174.78,2.14,0.96,35,65,171.1,1.14,Moderate,Elevated
2017,418,Merauke,Papua,4678.37,-6.472,95.8727,0.074,136,210,346,124.03,419.09,543.12,0.91,2.0,81,185,208.1,1.39,Moderate,Elevated
2018,418,Merauke,Papua,4678.37,-6.472,95.8727,0.0849,150,247,397,1230.18,318.84,1549.02,8.2,1.29,107,190,202.6,1.35,Moderate,Elevated
2019,418,Merauke,Papua,4678.37,-6.472,95.8727,0.2144,449,554,1003,783.39,8413.04,9196.43,1.74,15.19,299,433,292.9,1.95,Extreme,High
2020,418,Merauke,Papua,4678.37,-6.472,95.8727,0.066,127,182,309,513.47,1557.89,2071.36,4.04,8.56,94,159,206.8,1.38,Moderate,Elevated
2010,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.0276,56,78,134,733.64,165.93,899.57,13.1,2.13,44,58,102.0,0.68,Moderate,Background
2011,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.0771,152,222,374,144.48,1063.2,1207.68,0.95,4.79,103,160,216.5,1.44,Moderate,Elevated
2012,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.0829,162,240,402,242.2,4506.4,4748.6,1.5,18.78,127,171,202.3,1.35,Moderate,Elevated
2013,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.0747,140,222,362,3398.75,409.09,3807.84,24.28,1.84,110,177,275.8,1.84,Moderate,High
2014,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.0676,127,201,328,422.32,970.25,1392.57,3.33,4.83,100,147,189.9,1.27,Moderate,Elevated
2015,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.1555,319,435,754,1048.55,1912.71,2961.27,3.29,4.4,214,366,242.3,1.62,High,Elevated
2016,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.0417,79,123,202,321.99,1141.2,1463.19,4.08,9.28,48,93,113.7,0.76,Moderate,Background
2017,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.0726,159,193,352,897.58,673.85,1571.43,5.65,3.49,96,169,122.8,0.82,Moderate,Background
2018,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.085,165,247,412,701.52,389.42,1090.94,4.25,1.58,113,213,231.6,1.54,Moderate,Elevated
2019,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.2066,359,643,1002,1996.42,3578.96,5575.38,5.56,5.57,280,454,363.0,2.42,Extreme,High
2020,419,Biak Numfor,Papua,4848.98,-4.4848,108.8827,0.0654,125,192,317,437.15,1297.65,1734.8,3.5,6.76,80,136,208.4,1.39,Moderate,Elevated
2010,420,Jayawijaya,Papua,2783.68,-4.2302,125.489,0.0909,84,169,253,2134.15,522.42,2656.57,25.41,3.09,51,132,59.9,0.4,Moderate,Background
2011,420,Jayawijaya,Papua,2783.68,-4.2302,125.489,0.1117,120,191,311,289.5,597.73,887.23,2.41,3.13,80,137,192.4,1.28,Moderate,Elevated
