year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.1285,108,172,280,514.31,2500.57,3014.88,4.76,14.54,75,147,104.4,0.7,Moderate,Background
2011,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.1372,126,173,299,2113.7,903.21,3016.91,16.78,5.22,100,131,153.6,1.02,Moderate,Elevated
2012,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.1441,119,195,314,437.23,1167.49,1604.72,3.67,5.99,73,150,186.8,1.25,Moderate,Elevated
2013,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.1771,170,216,386,722.71,1212.04,1934.75,4.25,5.61,128,190,220.1,1.47,Moderate,Elevated
2014,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.1528,138,195,333,811.23,274.0,1085.23,5.88,1.41,101,159,173.8,1.16,Moderate,Elevated
2015,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.352,309,458,767,867.63,829.47,1697.1,2.81,1.81,211,351,229.8,1.53,High,Elevated
2016,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.0877,81,110,191,211.24,695.88,907.12,2.61,6.33,56,77,95.1,0.63,Moderate,Background
2017,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.1987,166,267,433,301.85,1075.32,1377.17,1.82,4.03,127,221,139.4,0.93,Moderate,Background
2018,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.1739,138,241,379,173.87,667.19,841.06,1.26,2.77,86,179,194.2,1.29,Moderate,Elevated
2019,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.5406,456,722,1178,554.08,4324.26,4878.34,1.22,5.99,334,648,197.7,1.32,Extreme,Elevated
2020,406,Manokwari,Papua Barat,2179.04,1.0821,130.4869,0.1569,144,198,342,965.73,672.95,1638.69,6.71,3.4,109,174,109.9,0.73,Moderate,Background
2010,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.0562,67,100,167,151.39,284.57,435.97,2.26,2.85,50,73,129.1,0.86,Moderate,Background
2011,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.1023,120,184,304,593.48,757.0,1350.48,4.95,4.11,85,155,250.0,1.67,Moderate,Elevated
2012,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.1161,147,198,345,222.72,871.05,1093.77,1.52,4.4,100,151,254.7,1.7,Moderate,High
2013,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.1373,167,241,408,201.28,899.03,1100.31,1.21,3.73,101,205,141.0,0.94,Moderate,Background
2014,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.1047,129,182,311,554.83,1747.89,2302.72,4.3,9.6,100,132,152.8,1.02,Moderate,Elevated
2015,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.2117,265,364,629,174.32,917.95,1092.27,0.66,2.52,166,268,144.1,0.96,High,Background
2016,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.0549,70,93,163,518.62,140.49,659.11,7.41,1.51,45,78,154.5,1.03,Moderate,Elevated
2017,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.1256,140,233,373,2032.05,793.04,2825.09,14.51,3.4,94,199,91.4,0.61,Moderate,Background
2018,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.1296,145,240,385,267.55,735.23,1002.78,1.85,3.06,99,208,149.7,1.0,Moderate,Background
2019,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.2878,305,550,855,7421.21,3023.96,10445.17,24.33,5.5,221,403,334.0,2.23,High,High
2020,407,Sorong,Papua Barat,2970.71,-2.4771,102.2493,0.1064,131,185,316,393.25,519.81,913.06,3.0,2.81,96,153,205.2,1.37,Moderate,Elevated
2010,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.0976,46,76,122,78.07,258.41,336.48,1.7,3.4,30,56,200.1,1.33,Moderate,Elevated
2011,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.2937,155,212,367,1341.02,895.08,2236.1,8.65,4.22,95,154,78.4,0.52,Moderate,Background
2012,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.2473,111,198,309,327.8,253.56,581.36,2.95,1.28,69,139,180.4,1.2,Moderate,Elevated
2013,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.2681,134,201,335,8376.93,8710.69,17087.62,62.51,43.34,106,143,183.6,1.22,Moderate,Elevated
2014,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.2993,159,215,374,401.88,1473.09,1874.97,2.53,6.85,126,154,153.7,1.02,Moderate,Elevated
2015,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.8571,451,620,1071,2742.07,1819.54,4561.61,6.08,2.93,286,452,489.3,3.26,Extreme,Severe
2016,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.1064,57,76,133,138.54,670.41,808.95,2.43,8.82,45,57,205.5,1.37,Moderate,Elevated
2017,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.2609,135,191,326,422.24,122.12,544.36,3.13,0.64,90,147,187.8,1.25,Moderate,Elevated
2018,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.3369,173,248,421,1145.92,4339.93,5485.85,6.62,17.5,105,187,197.2,1.31,Moderate,Elevated
2019,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.6691,332,504,836,1555.55,1041.05,2596.6,4.69,2.07,229,366,350.3,2.34,High,High
2020,408,Fakfak,Papua Barat,1249.52,-10.3013,108.713,0.2609,124,202,326,624.84,349.82,974.66,5.04,1.73,79,166,161.7,1.08,Moderate,Elevated
2010,409,Kaimana,Papua Barat,2923.07,-8.1603,117.071,0.0763,96,127,223,218.7,640.38,859.09,2.28,5.04,60,89,114.9,0.77,Moderate,Background
2011,409,Kaimana,Papua Barat,2923.07,-8.1603,117.071,0.1081,131,185,316,3083.85,804.66,3888.51,23.54,4.35,102,150,256.4,1.71,Moderate,High
2012,409,Kaimana,Papua Barat,2923.07,-8.1603,117.071,0.1286,130,246,376,300.96,1551.3,1852.26,2.32,6.31,88,220,150.6,1.0,Moderate,Elevated
2013,409,Kaimana,Papua Barat,2923.07,-8.1603,117.071,0.1197,148,202,350,157.22,201.05,358.26,1.06,1.0,101,158,194.3,1.3,Moderate,Elevated
2014,409,Kaimana,Papua Barat,2923.07,-8.1603,117.071,0.1136,126,206,332,165.97,290.38,456.35,1.32,1.41,86,156,207.6,1.38,Moderate,Elevated
2015,409,Kaimana,Papua Barat,2923.07,-8.1603,117.071,0.1971,219,357,576,1000.54,2267.64,3268.18,4.57,6.35,134,255,156.7,1.04,High,Elevated
2016,409,Kaimana,Papua Barat,2923.07,-8.1603,117.071,0.0517,56,95,151,1095.18,142.34,1237.52,19.56,1.5,40,83,151.1,1.01,Moderate,Elevated
2017,409,Kaimana,Papua Barat,2923.07,-8.1603,117.071,0.1064,132,179,311,194.09,202.05,396.13,1.47,1.13,86,143,82.0,0.55,Moderate,Background
2018,409,Kaimana,Papua Barat,2923.07,-8.1603,117.071,0.1266,154,216,370,503.41,731.15,1234.56,3.27,3.38,112,152,208.5,1.39,Moderate,Elevated
