year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,0.5371,435,644,1079,3314.67,2810.62,6125.3,7.62,4.36,317,483,341.1,2.27,Extreme,High
2011,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,1.0932,881,1315,2196,2178.45,7453.14,9631.59,2.47,5.67,544,1148,485.1,3.23,Extreme,Severe
2012,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,0.915,772,1066,1838,706.33,15343.01,16049.34,0.91,14.39,571,865,342.6,2.28,Extreme,High
2013,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,1.0568,868,1255,2123,2584.38,3461.35,6045.73,2.98,2.76,693,1098,440.1,2.93,Extreme,Severe
2014,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,0.8776,722,1041,1763,1125.97,25052.95,26178.92,1.56,24.07,455,823,492.8,3.29,Extreme,Severe
2015,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,2.4402,1949,2953,4902,3720.0,8464.11,12184.11,1.91,2.87,1480,2083,891.3,5.94,Extreme,Severe
2016,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,0.4649,374,560,934,18617.33,3467.65,22084.98,49.78,6.19,240,423,286.4,1.91,High,High
2017,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,1.0568,828,1295,2123,14028.73,7486.13,21514.85,16.94,5.78,625,1140,509.9,3.4,Extreme,Severe
2018,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,1.1081,871,1355,2226,368.77,3932.23,4301.0,0.42,2.9,599,1148,381.8,2.55,Extreme,High
2019,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,2.2794,1767,2812,4579,3356.44,11176.65,14533.08,1.9,3.97,1063,2198,659.1,4.39,Extreme,Severe
2020,36,Pekanbaru,Riau,2008.82,-9.7412,117.7283,1.0011,822,1189,2011,1287.31,9817.74,11105.05,1.57,8.26,510,991,422.3,2.82,Extreme,Severe
2010,37,Dumai,Riau,2106.44,-3.8531,102.2439,0.6058,512,764,1276,493.14,2217.93,2711.07,0.96,2.9,342,553,382.1,2.55,Extreme,High
2011,37,Dumai,Riau,2106.44,-3.8531,102.2439,0.7971,651,1028,1679,2857.63,3057.54,5915.16,4.39,2.97,469,827,507.9,3.39,Extreme,Severe
2012,37,Dumai,Riau,2106.44,-3.8531,102.2439,0.9291,798,1159,1957,8572.93,11057.88,19630.82,10.74,9.54,493,881,468.2,3.12,Extreme,Severe
2013,37,Dumai,Riau,2106.44,-3.8531,102.2439,1.0349,854,1326,2180,16548.72,22930.35,39479.06,19.38,17.29,657,976,564.9,3.77,Extreme,Severe
2014,37,Dumai,Riau,2106.44,-3.8531,102.2439,1.1379,946,1451,2397,21736.97,4197.13,25934.11,22.98,2.89,717,1135,435.9,2.91,Extreme,Severe
2015,37,Dumai,Riau,2106.44,-3.8531,102.2439,1.7708,1473,2257,3730,5922.4,3868.51,9790.91,4.02,1.71,995,1930,623.0,4.15,Extreme,Severe
2016,37,Dumai,Riau,2106.44,-3.8531,102.2439,0.6651,542,859,1401,2007.13,16149.15,18156.28,3.7,18.8,325,683,347.7,2.32,Extreme,High
2017,37,Dumai,Riau,2106.44,-3.8531,102.2439,0.8289,683,1063,1746,8975.48,9089.1,18064.58,13.14,8.55,445,823,213.4,1.42,Extreme,Elevated
2018,37,Dumai,Riau,2106.44,-3.8531,102.2439,1.0439,854,1345,2199,10268.06,3043.27,13311.32,12.02,2.26,639,1041,423.4,2.82,Extreme,Severe
2019,37,Dumai,Riau,2106.44,-3.8531,102.2439,1.4541,1274,1789,3063,2256.83,6619.87,8876.71,1.77,3.7,807,1468,531.5,3.54,Extreme,Severe
2020,37,Dumai,Riau,2106.44,-3.8531,102.2439,1.1375,982,1414,2396,1768.21,2581.33,4349.54,1.8,1.83,616,1103,561.8,3.75,Extreme,Severe
2010,38,Bengkalis,Riau,720.61,1.3457,97.2163,1.2933,368,564,932,375.07,4659.96,5035.03,1.02,8.26,282,427,224.2,1.49,High,Elevated
2011,38,Bengkalis,Riau,720.61,1.3457,97.2163,2.8143,830,1198,2028,336.97,3646.87,3983.84,0.41,3.04,578,923,558.2,3.72,Extreme,Severe
2012,38,Bengkalis,Riau,720.61,1.3457,97.2163,3.0446,892,1302,2194,6448.13,18140.23,24588.36,7.23,13.93,701,927,600.9,4.01,Extreme,Severe
2013,38,Bengkalis,Riau,720.61,1.3457,97.2163,3.0918,911,1317,2228,648.5,7710.58,8359.08,0.71,5.85,688,1100,408.0,2.72,Extreme,Severe
2014,38,Bengkalis,Riau,720.61,1.3457,97.2163,2.4104,691,1046,1737,1820.39,3819.7,5640.09,2.63,3.65,545,886,300.6,2.0,Extreme,High
2015,38,Bengkalis,Riau,720.61,1.3457,97.2163,6.1156,1802,2605,4407,16429.01,10658.39,27087.4,9.12,4.09,1182,2309,710.1,4.73,Extreme,Severe
2016,38,Bengkalis,Riau,720.61,1.3457,97.2163,1.4155,424,596,1020,2284.27,1165.54,3449.8,5.39,1.96,335,430,417.7,2.78,Extreme,Severe
2017,38,Bengkalis,Riau,720.61,1.3457,97.2163,2.7504,770,1212,1982,3953.68,3011.76,6965.44,5.13,2.48,533,1084,287.1,1.91,Extreme,High
2018,38,Bengkalis,Riau,720.61,1.3457,97.2163,2.23,613,994,1607,1580.84,4216.37,5797.22,2.58,4.24,453,876,400.4,2.67,Extreme,Severe
2019,38,Bengkalis,Riau,720.61,1.3457,97.2163,5.5578,1558,2447,4005,3490.92,6274.84,9765.75,2.24,2.56,1074,1726,1084.4,7.23,Extreme,
2020,38,Bengkalis,Riau,720.61,1.3457,97.2163,2.4757,718,1066,1784,1728.49,4162.74,5891.23,2.41,3.91,533,849,231.1,1.54,Extreme,Elevated
2010,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,0.3626,366,508,874,1426.06,2313.26,3739.32,3.9,4.55,290,387,464.6,3.1,High,Severe
2011,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,0.8052,742,1199,1941,8806.26,10350.5,19156.76,11.87,8.63,530,1071,365.9,2.44,Extreme,High
2012,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,0.9379,897,1364,2261,4564.72,7694.35,12259.08,5.09,5.64,651,1032,512.7,3.42,Extreme,Severe
2013,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,0.8603,851,1223,2074,2246.62,2054.43,4301.04,2.64,1.68,638,927,411.0,2.74,Extreme,Severe
2014,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,0.7579,741,1086,1827,568.25,1346.65,1914.9,0.77,1.24,592,846,516.0,3.44,Extreme,Severe
2015,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,2.3749,2302,3423,5725,9259.03,11995.1,21254.12,4.02,3.5,1817,2484,314.0,2.09,,High
2016,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,0.3791,365,549,914,1122.76,1655.56,2778.32,3.08,3.02,259,449,335.9,2.24,High,High
2017,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,0.7537,740,1077,1817,1065.46,1925.45,2990.9,1.44,1.79,457,802,339.8,2.27,Extreme,High
2018,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,0.9557,921,1383,2304,2895.47,1216.0,4111.47,3.14,0.88,630,1232,361.9,2.41,Extreme,High
2019,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,1.926,1756,2887,4643,10666.33,1892.6,12558.94,6.07,0.66,1289,2547,1009.8,6.73,Extreme,
2020,39,Indragiri Hilir,Riau,2410.68,1.4789,108.3867,0.867,777,1313,2090,1867.81,1460.82,3328.63,2.4,1.11,517,977,618.0,4.12,Extreme,Severe
2010,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,0.274,383,587,970,774.58,1806.63,2581.21,2.02,3.08,240,505,253.3,1.69,High,High
2011,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,0.5435,769,1155,1924,2777.63,13630.09,16407.73,3.61,11.8,612,877,516.1,3.44,Extreme,Severe
2012,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,0.4902,701,1034,1735,24796.97,3237.41,28034.39,35.37,3.13,502,874,399.9,2.67,Extreme,High
2013,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,0.5258,740,1121,1861,1706.86,4504.7,6211.57,2.31,4.02,519,947,239.2,1.59,Extreme,Elevated
2014,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,0.5921,848,1248,2096,3768.94,5175.57,8944.52,4.44,4.15,614,874,318.8,2.13,Extreme,High
2015,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,1.5216,2165,3221,5386,2385.03,33201.98,35587.01,1.1,10.31,1585,2342,618.3,4.12,,Severe
2016,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,0.2865,404,610,1014,687.58,3218.99,3906.57,1.7,5.28,320,429,230.0,1.53,Extreme,Elevated
2017,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,0.5492,802,1142,1944,7411.01,3599.22,11010.23,9.24,3.15,610,814,265.5,1.77,Extreme,High
2018,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,0.6574,936,1391,2327,2369.94,4913.09,7283.03,2.53,3.53,695,1109,595.6,3.97,Extreme,Severe
2019,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,1.4066,1934,3045,4979,2933.62,40230.18,43163.8,1.52,13.21,1267,2196,578.9,3.86,Extreme,Severe
2020,40,Indragiri Hulu,Riau,3539.69,-9.5621,118.043,0.5283,767,1103,1870,2929.29,3551.11,6480.4,3.82,3.22,597,863,603.4,4.02,Extreme,Severe
2010,41,Kampar,Riau,3915.69,5.7304,115.2002,0.1979,325,450,775,230.05,1446.93,1676.98,0.71,3.22,247,376,406.9,2.71,High,Severe
2011,41,Kampar,Riau,3915.69,5.7304,115.2002,0.4576,719,1073,1792,16530.43,1778.34,18308.77,22.99,1.66,562,947,249.7,1.66,Extreme,Elevated
2012,41,Kampar,Riau,3915.69,5.7304,115.2002,0.6239,999,1444,2443,1906.46,3644.32,5550.78,1.91,2.52,719,1150,357.2,2.38,Extreme,High
2013,41,Kampar,Riau,3915.69,5.7304,115.2002,0.5624,897,1305,2202,2284.82,2777.32,5062.13,2.55,2.13,582,1105,500.1,3.33,Extreme,Severe
2014,41,Kampar,Riau,3915.69,5.7304,115.2002,0.4469,724,1026,1750,11410.08,2258.19,13668.27,15.76,2.2,445,757,278.3,1.86,Extreme,High
2015,41,Kampar,Riau,3915.69,5.7304,115.2002,1.1814,1986,2640,4626,11774.97,9907.81,21682.77,5.93,3.75,1337,1993,756.3,5.04,Extreme,Severe
2016,41,Kampar,Riau,3915.69,5.7304,115.2002,0.3256,537,738,1275,10120.35,4319.09,14439.44,18.85,5.85,354,586,431.5,2.88,Extreme,Severe
2017,41,Kampar,Riau,3915.69,5.7304,115.2002,0.5445,901,1231,2132,3514.99,7259.99,10774.98,3.9,5.9,599,920,478.5,3.19,Extreme,Severe
2018,41,Kampar,Riau,3915.69,5.7304,115.2002,0.5074,811,1176,1987,1031.97,8733.77,9765.74,1.27,7.43,509,828,499.1,3.33,Extreme,Severe
2019,41,Kampar,Riau,3915.69,5.7304,115.2002,1.28,2018,2994,5012,5921.44,6153.3,12074.74,2.93,2.06,1399,2161,617.3,4.12,,Severe
2020,41,Kampar,Riau,3915.69,5.7304,115.2002,0.4198,683,961,1644,1619.31,7181.35,8800.66,2.37,7.47,412,683,315.2,2.1,Extreme,High
2010,42,Kuantan Singingi,Riau,4675.49,-1.6664,100.2138,0.2366,448,658,1106,9453.22,3143.96,12597.18,21.1,4.78,314,507,491.9,3.28,Extreme,Severe
2011,42,Kuantan Singingi,Riau,4675.49,-1.6664,100.2138,0.4012,736,1140,1876,1272.7,9730.55,11003.26,1.73,8.54,453,910,426.6,2.84,Extreme,Severe
2012,42,Kuantan Singingi,Riau,4675.49,-1.6664,100.2138,0.493,919,1386,2305,13242.2,8095.86,21338.05,14.41,5.84,709,1142,415.1,2.77,Extreme,Severe
2013,42,Kuantan Singingi,Riau,4675.49,-1.6664,100.2138,0.4774,932,1300,2232,17959.43,14501.12,32460.55,19.27,11.15,585,1135,659.9,4.4,Extreme,Severe
2014,42,Kuantan Singingi,Riau,4675.49,-1.6664,100.2138,0.3826,720,1069,1789,638.23,4475.34,5113.57,0.89,4.19,493,874,469.9,3.13,Extreme,Severe
2015,42,Kuantan Singingi,Riau,4675.49,-1.6664,100.2138,1.0345,1803,3034,4837,3629.34,34598.34,38227.68,2.01,11.4,1257,2692,428.3,2.86,Extreme,Severe
