year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.0373,69,106,175,167.95,193.87,361.82,2.43,1.83,51,78,109.2,0.73,Moderate,Background
2011,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.0827,154,234,388,4991.83,212.05,5203.88,32.41,0.91,107,200,173.4,1.16,Moderate,Elevated
2012,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.0674,132,184,316,194.56,921.91,1116.48,1.47,5.01,80,157,127.6,0.85,Moderate,Background
2013,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.0802,158,218,376,842.02,403.14,1245.16,5.33,1.85,110,180,267.9,1.79,Moderate,High
2014,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.0921,167,265,432,548.16,2573.41,3121.57,3.28,9.71,118,197,170.3,1.14,Moderate,Elevated
2015,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.1718,342,464,806,7891.79,986.82,8878.61,23.08,2.13,240,367,271.3,1.81,High,High
2016,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.0418,77,119,196,396.57,919.63,1316.2,5.15,7.73,55,96,163.5,1.09,Moderate,Elevated
2017,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.0893,164,255,419,957.1,1501.84,2458.95,5.84,5.89,106,185,216.2,1.44,Moderate,Elevated
2018,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.0823,166,220,386,350.08,357.92,708.0,2.11,1.63,99,171,161.0,1.07,Moderate,Elevated
2019,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.2061,445,522,967,1876.2,893.13,2769.34,4.22,1.71,306,389,267.5,1.78,High,High
2020,379,Majene,Sulawesi Barat,4690.97,-7.3528,97.3339,0.0836,159,233,392,246.18,278.59,524.77,1.55,1.2,108,190,243.9,1.63,Moderate,Elevated
2010,380,Mamasa,Sulawesi Barat,1879.53,-5.8726,140.8149,0.0814,68,85,153,412.82,415.58,828.4,6.07,4.89,43,72,157.2,1.05,Moderate,Elevated
