year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,0.3304,70,110,180,1762.18,72.23,1834.41,25.17,0.66,46,78,135.6,0.9,Moderate,Background
2011,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,0.782,160,266,426,1160.5,2541.0,3701.5,7.25,9.55,105,213,168.7,1.12,Moderate,Elevated
2012,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,0.7306,163,235,398,3891.7,463.04,4354.74,23.88,1.97,129,182,204.8,1.37,Moderate,Elevated
2013,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,0.7141,136,253,389,1023.55,474.34,1497.89,7.53,1.87,99,193,260.2,1.73,Moderate,High
2014,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,0.5599,125,180,305,301.21,930.49,1231.7,2.41,5.17,75,151,196.4,1.31,Moderate,Elevated
2015,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,1.8596,402,611,1013,3772.31,4070.29,7842.6,9.38,6.66,250,446,213.6,1.42,Extreme,Elevated
2016,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,0.3286,73,106,179,58.27,1099.23,1157.5,0.8,10.37,55,92,212.2,1.41,Moderate,Elevated
2017,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,0.8261,179,271,450,1826.87,679.45,2506.31,10.21,2.51,131,202,165.3,1.1,Moderate,Elevated
2018,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,0.6921,165,212,377,1739.36,722.02,2461.37,10.54,3.41,121,188,177.4,1.18,Moderate,Elevated
2019,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,1.5659,360,493,853,3478.89,2204.46,5683.36,9.66,4.47,260,411,274.7,1.83,High,High
2020,333,Makassar,Sulawesi Selatan,544.74,-8.487,105.3403,0.5397,115,179,294,1699.57,678.39,2377.97,14.78,3.79,74,141,304.8,2.03,Moderate,High
