year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,0.6253,94,162,256,651.68,1621.41,2273.09,6.93,10.01,73,114,92.9,0.62,Moderate,Background
2011,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,0.8256,136,202,338,2173.53,1663.15,3836.68,15.98,8.23,97,164,168.4,1.12,Moderate,Elevated
2012,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,0.7303,112,187,299,408.13,1967.92,2376.05,3.64,10.52,72,134,160.3,1.07,Moderate,Elevated
2013,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,0.9233,157,221,378,828.01,1766.94,2594.95,5.27,8.0,105,176,158.7,1.06,Moderate,Elevated
2014,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,0.894,156,210,366,494.25,1214.89,1709.14,3.17,5.79,117,168,235.0,1.57,Moderate,Elevated
2015,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,1.6243,239,426,665,4974.01,1064.61,6038.62,20.81,2.5,156,306,291.8,1.95,High,High
2016,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,0.3493,60,83,143,222.84,125.55,348.38,3.71,1.51,36,66,179.0,1.19,Moderate,Elevated
2017,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,0.7425,130,174,304,2548.0,431.25,2979.25,19.6,2.48,101,154,184.4,1.23,Moderate,Elevated
2018,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,0.9233,159,219,378,1330.08,400.45,1730.52,8.37,1.83,102,183,125.6,0.84,Moderate,Background
2019,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,2.5794,442,614,1056,2372.93,8664.63,11037.56,5.37,14.11,315,505,460.4,3.07,Extreme,Severe
2020,320,Palu,Sulawesi Tengah,409.41,-2.6826,132.2165,0.9257,147,232,379,488.17,652.5,1140.66,3.32,2.81,94,174,153.4,1.02,Moderate,Elevated
2010,321,Banggai,Sulawesi Tengah,2434.74,4.3522,106.4091,0.0743,79,102,181,677.72,1151.81,1829.53,8.58,11.29,51,72,145.9,0.97,Moderate,Background
2011,321,Banggai,Sulawesi Tengah,2434.74,4.3522,106.4091,0.168,165,244,409,656.19,1417.67,2073.86,3.98,5.81,120,186,123.4,0.82,Moderate,Background
2012,321,Banggai,Sulawesi Tengah,2434.74,4.3522,106.4091,0.1364,140,192,332,932.18,1025.65,1957.84,6.66,5.34,100,150,147.7,0.98,Moderate,Background
2013,321,Banggai,Sulawesi Tengah,2434.74,4.3522,106.4091,0.138,148,188,336,369.27,300.86,670.13,2.5,1.6,103,167,148.5,0.99,Moderate,Background
2014,321,Banggai,Sulawesi Tengah,2434.74,4.3522,106.4091,0.1425,138,209,347,266.23,1490.19,1756.43,1.93,7.13,92,153,168.6,1.12,Moderate,Elevated
2015,321,Banggai,Sulawesi Tengah,2434.74,4.3522,106.4091,0.3208,290,491,781,24.66,2252.69,2277.35,0.09,4.59,186,380,57.2,0.38,High,Background
2016,321,Banggai,Sulawesi Tengah,2434.74,4.3522,106.4091,0.0904,98,122,220,609.97,838.17,1448.14,6.22,6.87,60,92,166.1,1.11,Moderate,Elevated
2017,321,Banggai,Sulawesi Tengah,2434.74,4.3522,106.4091,0.161,131,261,392,3140.28,1236.93,4377.2,23.97,4.74,104,206,217.5,1.45,Moderate,Elevated
