year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.0452,95,120,215,176.52,460.73,637.25,1.86,3.84,59,97,120.8,0.81,Moderate,Background
2011,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.0894,179,246,425,1156.94,674.97,1831.91,6.46,2.74,131,197,271.7,1.81,Moderate,High
2012,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.0753,157,201,358,2841.17,751.52,3592.69,18.1,3.74,95,162,210.8,1.41,Moderate,Elevated
2013,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.0818,151,238,389,637.63,5213.29,5850.92,4.22,21.9,92,202,175.1,1.17,Moderate,Elevated
2014,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.0936,171,274,445,592.72,254.01,846.73,3.47,0.93,114,210,185.7,1.24,Moderate,Elevated
2015,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.1259,217,382,599,404.2,2352.81,2757.0,1.86,6.16,142,304,363.0,2.42,High,High
2016,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.0263,54,71,125,55.63,189.1,244.73,1.03,2.66,41,55,146.5,0.98,Moderate,Background
2017,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.0816,161,227,388,3635.28,502.14,4137.42,22.58,2.21,98,161,126.6,0.84,Moderate,Background
2018,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.0614,116,176,292,285.26,348.88,634.14,2.46,1.98,84,149,218.8,1.46,Moderate,Elevated
2019,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.1352,248,395,643,600.2,1313.77,1913.98,2.42,3.33,157,335,415.8,2.77,High,Severe
2020,357,Kendari,Sulawesi Tenggara,4756.55,2.0509,128.6832,0.0925,169,271,440,649.39,2751.54,3400.93,3.84,10.15,130,226,99.7,0.66,Moderate,Background
2010,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.0498,58,90,148,987.14,241.64,1228.78,17.02,2.68,44,70,186.0,1.24,Moderate,Elevated
2011,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.1221,147,216,363,981.81,1326.9,2308.71,6.68,6.14,102,154,152.7,1.02,Moderate,Elevated
2012,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.1315,164,227,391,1149.95,1831.72,2981.68,7.01,8.07,102,184,193.5,1.29,Moderate,Elevated
2013,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.1554,189,273,462,912.19,683.76,1595.95,4.83,2.5,117,200,210.5,1.4,Moderate,Elevated
2014,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.1305,176,212,388,640.24,4697.43,5337.67,3.64,22.16,128,166,161.1,1.07,Moderate,Elevated
2015,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.3791,458,669,1127,909.75,5449.75,6359.51,1.99,8.15,317,505,381.9,2.55,Extreme,High
2016,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.0626,83,103,186,491.57,294.89,786.46,5.92,2.86,50,82,136.5,0.91,Moderate,Background
2017,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.1053,133,180,313,487.09,974.87,1461.96,3.66,5.42,101,149,96.4,0.64,Moderate,Background
2018,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.113,140,196,336,213.41,1472.98,1686.39,1.52,7.52,94,171,63.6,0.42,Moderate,Background
2019,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.1978,246,342,588,6578.52,752.59,7331.11,26.74,2.2,177,254,191.7,1.28,High,Elevated
2020,358,Bau-Bau,Sulawesi Tenggara,2972.76,-6.0045,105.5461,0.114,137,202,339,400.24,1407.94,1808.18,2.92,6.97,101,173,203.0,1.35,Moderate,Elevated
2010,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.0281,46,76,122,184.74,351.29,536.03,4.02,4.62,32,66,85.7,0.57,Moderate,Background
2011,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.0916,156,242,398,1187.07,286.45,1473.52,7.61,1.18,115,182,142.2,0.95,Moderate,Background
2012,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.0658,104,182,286,712.61,1320.64,2033.25,6.85,7.26,82,149,180.2,1.2,Moderate,Elevated
2013,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.092,168,232,400,497.09,195.67,692.76,2.96,0.84,108,190,169.4,1.13,Moderate,Elevated
2014,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.0872,157,222,379,325.05,630.66,955.71,2.07,2.84,109,167,162.7,1.08,Moderate,Elevated
2015,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.1452,253,378,631,920.57,623.54,1544.11,3.64,1.65,198,314,308.8,2.06,High,High
2016,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.0334,56,89,145,215.62,288.55,504.17,3.85,3.24,39,73,120.0,0.8,Moderate,Background
2017,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.0849,139,230,369,165.45,1372.93,1538.38,1.19,5.97,98,181,237.9,1.59,Moderate,Elevated
2018,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.0736,135,185,320,377.75,463.57,841.33,2.8,2.51,81,135,164.8,1.1,Moderate,Elevated
2019,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.2604,463,669,1132,1397.09,1811.35,3208.45,3.02,2.71,344,586,308.4,2.06,Extreme,High
2020,359,Bombana,Sulawesi Tenggara,4346.75,5.6005,96.509,0.0867,146,231,377,981.91,656.82,1638.73,6.73,2.84,109,202,97.3,0.65,Moderate,Background
2010,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.301,75,119,194,240.01,218.21,458.23,3.2,1.83,54,105,98.6,0.66,Moderate,Background
2011,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.5074,139,188,327,3201.16,2557.41,5758.57,23.03,13.6,106,160,161.9,1.08,Moderate,Elevated
2012,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.6626,184,243,427,168.79,196.62,365.42,0.92,0.81,127,207,226.9,1.51,Moderate,Elevated
2013,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.4671,122,179,301,90.44,367.83,458.27,0.74,2.05,81,136,170.6,1.14,Moderate,Elevated
2014,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.509,150,178,328,1022.11,1595.12,2617.23,6.81,8.96,105,159,161.6,1.08,Moderate,Elevated
2015,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.9,221,359,580,2863.09,944.52,3807.6,12.96,2.63,137,264,112.7,0.75,High,Background
2016,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.2747,73,104,177,169.07,472.85,641.93,2.32,4.55,50,86,61.1,0.41,Moderate,Background
2017,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.6673,167,263,430,743.67,767.92,1511.59,4.45,2.92,119,188,153.3,1.02,Moderate,Elevated
2018,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.5788,141,232,373,463.54,1235.71,1699.25,3.29,5.33,87,198,158.4,1.06,Moderate,Elevated
2019,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,1.0428,267,405,672,1579.07,2383.91,3962.99,5.91,5.89,180,295,238.5,1.59,High,Elevated
2020,360,Buton,Sulawesi Tenggara,644.42,-3.7696,119.5634,0.6238,165,237,402,1563.75,2851.83,4415.58,9.48,12.03,117,174,213.3,1.42,Moderate,Elevated
2010,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.0453,81,133,214,213.62,1481.61,1695.23,2.64,11.14,60,107,61.5,0.41,Moderate,Background
2011,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.0814,152,233,385,1689.04,348.53,2037.57,11.11,1.5,108,175,138.8,0.93,Moderate,Background
2012,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.0706,127,207,334,749.52,114.56,864.08,5.9,0.55,94,173,233.5,1.56,Moderate,Elevated
2013,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.081,156,227,383,401.68,215.73,617.41,2.57,0.95,102,183,126.2,0.84,Moderate,Background
2014,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.0842,156,242,398,876.56,199.73,1076.29,5.62,0.83,114,171,145.8,0.97,Moderate,Background
2015,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.1635,323,450,773,497.43,1056.71,1554.13,1.54,2.35,219,350,326.7,2.18,High,High
2016,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.0247,48,69,117,343.68,715.95,1059.63,7.16,10.38,36,49,201.0,1.34,Moderate,Elevated
2017,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.0675,128,191,319,1055.54,321.42,1376.96,8.25,1.68,93,170,212.8,1.42,Moderate,Elevated
2018,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.0911,169,262,431,256.81,4288.62,4545.43,1.52,16.37,131,229,233.3,1.56,Moderate,Elevated
2019,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.1576,288,457,745,2240.96,2092.96,4333.92,7.78,4.58,212,375,266.4,1.78,High,High
2020,361,Buton Selatan,Sulawesi Tenggara,4728.62,-1.6745,137.5272,0.0856,162,243,405,481.4,289.28,770.68,2.97,1.19,122,203,125.5,0.84,Moderate,Background
2010,362,Buton Tengah,Sulawesi Tenggara,326.26,-10.8445,124.6045,0.4383,51,92,143,346.91,138.98,485.89,6.8,1.51,37,64,178.2,1.19,Moderate,Elevated
2011,362,Buton Tengah,Sulawesi Tenggara,326.26,-10.8445,124.6045,0.9471,116,193,309,305.76,1120.54,1426.3,2.64,5.81,79,139,145.4,0.97,Moderate,Background
2012,362,Buton Tengah,Sulawesi Tenggara,326.26,-10.8445,124.6045,1.1034,117,243,360,329.3,651.77,981.07,2.81,2.68,79,190,253.5,1.69,Moderate,High
2013,362,Buton Tengah,Sulawesi Tenggara,326.26,-10.8445,124.6045,1.1371,161,210,371,2740.41,1128.61,3869.02,17.02,5.37,126,150,172.2,1.15,Moderate,Elevated
2014,362,Buton Tengah,Sulawesi Tenggara,326.26,-10.8445,124.6045,0.9777,127,192,319,1219.53,1145.76,2365.3,9.6,5.97,79,138,219.5,1.46,Moderate,Elevated
2015,362,Buton Tengah,Sulawesi Tenggara,326.26,-10.8445,124.6045,2.2344,304,425,729,123.62,1711.83,1835.46,0.41,4.03,204,380,436.5,2.91,High,Severe
