year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.0496,64,87,151,105.09,1108.72,1213.81,1.64,12.74,48,69,171.2,1.14,Moderate,Elevated
2011,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.135,160,251,411,398.34,1781.75,2180.09,2.49,7.1,99,181,204.3,1.36,Moderate,Elevated
2012,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.1123,130,212,342,873.9,661.43,1535.33,6.72,3.12,89,179,185.6,1.24,Moderate,Elevated
2013,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.1146,151,198,349,186.61,384.79,571.4,1.24,1.94,108,150,131.4,0.88,Moderate,Background
2014,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.0969,124,171,295,219.63,90.95,310.58,1.77,0.53,97,124,170.1,1.13,Moderate,Elevated
2015,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.3337,357,659,1016,804.3,5823.07,6627.37,2.25,8.84,257,569,395.0,2.63,Extreme,High
2016,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.0788,95,145,240,2394.73,1140.41,3535.13,25.21,7.86,63,127,167.4,1.12,Moderate,Elevated
2017,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.1461,168,277,445,1450.83,1024.79,2475.62,8.64,3.7,103,229,208.2,1.39,Moderate,Elevated
2018,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.1281,143,247,390,2910.34,814.25,3724.58,20.35,3.3,90,189,125.6,0.84,Moderate,Background
2019,305,Manado,Sulawesi Utara,3045.04,-7.7426,140.793,0.309,375,566,941,1036.73,2744.14,3780.88,2.76,4.85,239,455,283.8,1.89,High,High
