year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.0759,128,179,307,360.26,860.26,1220.52,2.81,4.81,88,135,98.3,0.66,Moderate,Background
2011,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.1328,211,326,537,427.4,444.79,872.19,2.03,1.36,158,244,239.5,1.6,High,Elevated
2012,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.1479,248,350,598,2348.35,243.55,2591.9,9.47,0.7,164,255,239.0,1.59,High,Elevated
2013,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.1387,226,335,561,1914.18,1635.86,3550.04,8.47,4.88,144,294,153.5,1.02,High,Elevated
2014,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.1459,232,358,590,2743.57,3881.25,6624.82,11.83,10.84,182,251,219.8,1.47,High,Elevated
2015,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.3128,490,775,1265,1072.17,3942.78,5014.96,2.19,5.09,357,691,443.8,2.96,Extreme,Severe
2016,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.0668,109,161,270,2863.33,2992.94,5856.28,26.27,18.59,83,120,183.2,1.22,Moderate,Elevated
2017,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.112,173,280,453,2364.7,461.81,2826.51,13.67,1.65,107,248,120.8,0.81,Moderate,Background
2018,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.1503,244,364,608,610.73,3428.81,4039.54,2.5,9.42,153,268,282.7,1.88,High,High
2019,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.2927,493,691,1184,8017.49,1292.23,9309.73,16.26,1.87,309,557,263.4,1.76,Extreme,High
2020,24,Padang,Sumatera Barat,4044.56,2.776,137.7149,0.1474,234,362,596,1315.83,1333.36,2649.19,5.62,3.68,169,312,145.3,0.97,High,Background
2010,25,Bukittinggi,Sumatera Barat,4234.5,4.5169,123.7173,0.0579,104,141,245,22.87,625.94,648.81,0.22,4.44,63,101,229.9,1.53,Moderate,Elevated
