year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,0.5463,237,355,592,1308.42,672.75,1981.17,5.52,1.9,180,306,393.0,2.62,High,High
2011,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,0.9275,410,595,1005,1798.71,1752.36,3551.07,4.39,2.95,248,488,263.8,1.76,Extreme,High
2012,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,1.0401,463,664,1127,1757.49,5602.32,7359.81,3.8,8.44,347,550,136.6,0.91,Extreme,Background
2013,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,1.0899,471,710,1181,15996.92,3327.64,19324.56,33.96,4.69,351,577,354.8,2.37,Extreme,High
2014,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,0.982,410,654,1064,8989.66,1755.21,10744.87,21.93,2.68,285,493,307.2,2.05,Extreme,High
2015,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,1.7913,783,1158,1941,8033.31,8038.31,16071.62,10.26,6.94,607,918,522.7,3.48,Extreme,Severe
2016,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,0.6359,283,406,689,223.67,2901.98,3125.65,0.79,7.15,221,307,285.1,1.9,High,High
2017,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,1.0179,412,691,1103,1077.55,6872.37,7949.92,2.62,9.95,327,587,322.0,2.15,Extreme,High
2018,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,0.9949,427,651,1078,2218.96,2933.95,5152.91,5.2,4.51,260,528,240.7,1.6,Extreme,Elevated
2019,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,1.6437,709,1072,1781,3795.56,2228.52,6024.08,5.35,2.08,451,792,596.0,3.97,Extreme,Severe
2020,59,Palembang,Sumatera Selatan,1083.56,-7.344,113.7834,1.1121,491,714,1205,3153.78,2355.09,5508.88,6.42,3.3,360,625,283.8,1.89,Extreme,High
2010,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,1.7202,243,428,671,444.04,3574.53,4018.57,1.83,8.35,159,329,167.0,1.11,High,Elevated
2011,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,2.9584,473,681,1154,747.8,37021.11,37768.92,1.58,54.36,355,496,298.8,1.99,Extreme,High
2012,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,3.1814,489,752,1241,4751.57,1120.74,5872.3,9.72,1.49,338,652,221.0,1.47,Extreme,Elevated
2013,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,2.8815,419,705,1124,1981.96,1656.81,3638.77,4.73,2.35,303,536,456.2,3.04,Extreme,Severe
2014,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,2.9533,451,701,1152,5404.84,10904.14,16308.98,11.98,15.56,322,595,314.1,2.09,Extreme,High
2015,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,6.1552,938,1463,2401,10510.94,5385.87,15896.82,11.21,3.68,590,1232,542.4,3.62,Extreme,Severe
2016,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,1.5997,260,364,624,648.58,2535.41,3183.99,2.49,6.97,182,311,236.1,1.57,High,Elevated
2017,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,2.3739,372,554,926,1713.98,4736.24,6450.22,4.61,8.55,288,447,339.2,2.26,High,High
2018,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,2.3611,366,555,921,1833.06,394.63,2227.69,5.01,0.71,270,415,387.8,2.59,High,High
2019,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,5.6066,845,1342,2187,2355.17,3146.06,5501.23,2.79,2.34,545,1116,405.5,2.7,Extreme,Severe
2020,60,Prabumulih,Sumatera Selatan,390.08,-0.8047,110.2477,2.1303,321,510,831,4541.04,944.04,5485.07,14.15,1.85,209,422,394.6,2.63,High,High
2010,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.0913,148,237,385,1520.61,381.42,1902.03,10.27,1.61,94,202,234.6,1.56,Moderate,Elevated
2011,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.2655,435,685,1120,1946.15,8478.65,10424.8,4.47,12.38,340,554,379.7,2.53,Extreme,High
2012,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.2463,445,594,1039,1660.56,4506.54,6167.1,3.73,7.59,319,516,303.7,2.02,Extreme,High
2013,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.2057,331,537,868,737.42,4212.67,4950.08,2.23,7.84,239,437,435.7,2.9,High,Severe
2014,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.1998,336,507,843,653.16,1822.6,2475.76,1.94,3.59,228,405,195.9,1.31,High,Elevated
2015,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.3688,623,933,1556,1771.48,643.61,2415.09,2.84,0.69,447,756,219.1,1.46,Extreme,Elevated
2016,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.1225,203,314,517,334.82,609.05,943.87,1.65,1.94,148,270,224.7,1.5,High,Elevated
2017,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.2731,476,676,1152,848.48,3000.61,3849.09,1.78,4.44,364,578,174.3,1.16,Extreme,Elevated
2018,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.2515,407,654,1061,17592.58,1089.62,18682.21,43.23,1.67,315,492,300.8,2.01,Extreme,High
2019,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.5246,915,1298,2213,74088.0,4034.42,78122.42,80.97,3.11,569,1028,424.0,2.83,Extreme,Severe
2020,61,Pagar Alam,Sumatera Selatan,4218.74,2.0313,110.4098,0.2432,429,597,1026,801.16,5393.19,6194.36,1.87,9.03,325,429,341.2,2.27,Extreme,High
2010,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,0.3354,284,430,714,673.59,1926.37,2599.96,2.37,4.48,197,350,323.3,2.16,High,High
2011,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,0.4598,424,555,979,1773.85,1220.32,2994.18,4.18,2.2,264,422,417.7,2.78,High,Severe
2012,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,0.4359,379,549,928,662.4,894.4,1556.8,1.75,1.63,243,458,370.7,2.47,High,High
2013,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,0.5298,442,686,1128,676.04,2259.48,2935.52,1.53,3.29,302,487,337.2,2.25,Extreme,High
2014,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,0.5246,457,660,1117,479.54,7619.3,8098.84,1.05,11.54,316,539,379.0,2.53,Extreme,High
2015,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,1.1949,1017,1527,2544,15712.48,3879.28,19591.76,15.45,2.54,633,1113,280.9,1.87,Extreme,High
2016,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,0.1536,134,193,327,179.3,716.78,896.09,1.34,3.71,83,136,338.5,2.26,Moderate,High
2017,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,0.5251,469,649,1118,8801.65,10130.35,18931.99,18.77,15.61,361,574,157.9,1.05,Extreme,Elevated
2018,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,0.4983,437,624,1061,1459.05,1308.43,2767.48,3.34,2.1,301,442,269.8,1.8,Extreme,High
2019,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,1.1822,1022,1495,2517,443.36,26392.85,26836.21,0.43,17.65,807,1294,734.2,4.89,Extreme,Severe
2020,62,Lubuklinggau,Sumatera Selatan,2129.1,3.6336,101.528,0.4598,405,574,979,1155.32,2577.59,3732.9,2.85,4.49,254,424,481.7,3.21,High,Severe
2010,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.1269,237,377,614,325.44,1129.7,1455.14,1.37,3.0,184,295,222.4,1.48,High,Elevated
2011,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.2141,420,616,1036,2237.67,3144.82,5382.49,5.33,5.11,279,526,267.4,1.78,Extreme,High
2012,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.2238,432,651,1083,380.92,3708.27,4089.19,0.88,5.7,264,527,368.1,2.45,Extreme,High
2013,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.2081,404,603,1007,426.22,201.08,627.3,1.05,0.33,294,499,159.5,1.06,Extreme,Elevated
2014,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.23,456,657,1113,2043.97,4525.65,6569.62,4.48,6.89,357,539,310.5,2.07,Extreme,High
2015,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.5868,1100,1739,2839,8627.88,10912.81,19540.69,7.84,6.28,807,1518,417.3,2.78,Extreme,Severe
2016,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.1244,251,351,602,6306.6,4785.59,11092.19,25.13,13.63,176,310,304.1,2.03,High,High
2017,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.2216,458,614,1072,2939.87,1585.15,4525.02,6.42,2.58,299,433,326.6,2.18,Extreme,High
2018,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.2038,413,573,986,735.72,1553.64,2289.36,1.78,2.71,269,421,258.2,1.72,High,High
2019,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.3576,693,1037,1730,2366.46,3787.85,6154.31,3.41,3.65,509,868,623.0,4.15,Extreme,Severe
2020,63,Banyuasin,Sumatera Selatan,4838.24,0.4135,127.5545,0.1788,313,552,865,542.63,2236.95,2779.57,1.73,4.05,188,433,289.5,1.93,High,High
2010,64,Lahat,Sumatera Selatan,685.92,4.3088,127.147,0.6575,175,276,451,973.52,1422.68,2396.2,5.56,5.15,107,214,263.5,1.76,Moderate,High
2011,64,Lahat,Sumatera Selatan,685.92,4.3088,127.147,1.5366,432,622,1054,215.85,3047.16,3263.01,0.5,4.9,268,448,230.8,1.54,Extreme,Elevated
