year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.0332,54,95,149,264.95,310.67,575.61,4.91,3.27,36,75,151.4,1.01,Moderate,Elevated
2011,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.0866,162,227,389,256.39,1225.5,1481.89,1.58,5.4,97,188,206.7,1.38,Moderate,Elevated
2012,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.1028,182,280,462,2988.48,242.51,3231.0,16.42,0.87,142,229,253.5,1.69,Moderate,High
2013,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.0913,163,247,410,736.96,538.09,1275.05,4.52,2.18,110,199,261.7,1.74,Moderate,High
2014,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.1004,188,263,451,152.8,1277.07,1429.86,0.81,4.86,133,203,283.6,1.89,Moderate,High
2015,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.1667,339,410,749,2375.76,634.82,3010.58,7.01,1.55,213,353,359.0,2.39,High,High
2016,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.0568,106,149,255,206.73,433.92,640.65,1.95,2.91,75,113,142.2,0.95,Moderate,Background
2017,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.12,198,341,539,991.83,887.8,1879.64,5.01,2.6,145,276,120.9,0.81,High,Background
2018,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.1267,239,330,569,1442.14,870.81,2312.95,6.03,2.64,183,272,204.1,1.36,High,Elevated
2019,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.2958,532,797,1329,1920.52,3991.62,5912.14,3.61,5.01,337,635,365.1,2.43,Extreme,High
2020,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.0855,162,222,384,1012.96,1458.81,2471.77,6.25,6.57,113,194,291.9,1.95,Moderate,High
2010,12,Binjai,Sumatera Utara,4783.52,-7.4208,120.5358,0.0592,112,171,283,371.56,1024.69,1396.25,3.32,5.99,69,130,166.1,1.11,Moderate,Elevated
2011,12,Binjai,Sumatera Utara,4783.52,-7.4208,120.5358,0.1068,214,297,511,272.17,752.87,1025.04,1.27,2.53,169,246,191.2,1.27,High,Elevated
2012,12,Binjai,Sumatera Utara,4783.52,-7.4208,120.5358,0.1235,252,339,591,1899.54,524.59,2424.13,7.54,1.55,166,291,195.5,1.3,High,Elevated
