year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2015,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.5197,306,470,776,15959.26,3234.32,19193.58,52.15,6.88,200,391,248.1,1.65,High,Elevated
2019,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.6255,373,561,934,3456.46,851.44,4307.9,9.27,1.52,236,481,190.3,1.27,High,Elevated
2015,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.4985,377,497,874,3663.19,2876.77,6539.96,9.72,5.79,263,431,352.7,2.35,High,High
2019,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.5259,366,556,922,2190.36,384.77,2575.13,5.98,0.69,247,420,215.4,1.44,High,Elevated
2015,3,Lhokseumawe,Aceh,3718.19,-9.129,110.5982,0.2294,358,495,853,410.11,657.34,1067.46,1.15,1.33,216,399,329.2,2.19,High,High
2019,3,Lhokseumawe,Aceh,3718.19,-9.129,110.5982,0.2862,413,651,1064,1261.11,4268.98,5530.09,3.05,6.56,322,485,236.5,1.58,Extreme,Elevated
2015,4,Langsa,Aceh,1074.94,0.7667,131.4775,0.6298,260,417,677,661.22,1685.58,2346.8,2.54,4.04,193,318,328.9,2.19,High,High
2019,4,Langsa,Aceh,1074.94,0.7667,131.4775,0.9191,403,585,988,720.72,1796.67,2517.39,1.79,3.07,247,451,372.5,2.48,High,High
2015,5,Subulussalam,Aceh,3632.07,-1.9414,101.6768,0.2428,298,584,882,2723.38,1274.39,3997.77,9.14,2.18,218,506,337.1,2.25,High,High
2019,5,Subulussalam,Aceh,3632.07,-1.9414,101.6768,0.2051,278,467,745,1124.22,3809.86,4934.07,4.04,8.16,170,379,394.1,2.63,High,High
2015,6,Aceh Besar,Aceh,3983.73,4.1812,137.5438,0.2829,465,662,1127,2315.33,2232.63,4547.96,4.98,3.37,320,474,183.4,1.22,Extreme,Elevated
2019,6,Aceh Besar,Aceh,3983.73,4.1812,137.5438,0.1986,290,501,791,3720.82,1748.16,5468.98,12.83,3.49,185,374,258.1,1.72,High,High
2015,7,Aceh Jaya,Aceh,4581.33,-3.0853,131.259,0.1587,261,466,727,1717.27,864.44,2581.71,6.58,1.86,197,387,387.9,2.59,High,High
2019,7,Aceh Jaya,Aceh,4581.33,-3.0853,131.259,0.2257,383,651,1034,4953.76,5290.1,10243.86,12.93,8.13,296,484,313.9,2.09,Extreme,High
2015,8,Aceh Selatan,Aceh,101.45,-9.8552,140.6554,7.1366,321,403,724,665.04,694.8,1359.84,2.07,1.72,228,289,187.9,1.25,High,Elevated
2019,8,Aceh Selatan,Aceh,101.45,-9.8552,140.6554,6.5747,274,393,667,1485.49,599.89,2085.38,5.42,1.53,210,347,363.5,2.42,High,High
2015,9,Aceh Singkil,Aceh,158.4,-9.5181,108.8107,5.303,343,497,840,1162.01,2840.61,4002.63,3.39,5.72,264,419,230.0,1.53,High,Elevated
2019,9,Aceh Singkil,Aceh,158.4,-9.5181,108.8107,6.4583,446,577,1023,9594.59,1947.09,11541.69,21.51,3.37,316,478,299.9,2.0,Extreme,High
2015,10,Aceh Tamiang,Aceh,1813.95,4.9031,122.2085,0.4658,350,495,845,13300.47,1290.21,14590.68,38.0,2.61,252,408,219.7,1.46,High,Elevated
2019,10,Aceh Tamiang,Aceh,1813.95,4.9031,122.2085,0.4962,390,510,900,6256.83,2096.56,8353.39,16.04,4.11,268,384,226.3,1.51,High,Elevated
2015,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.1667,339,410,749,2375.76,634.82,3010.58,7.01,1.55,213,353,359.0,2.39,High,High
2017,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.12,198,341,539,991.83,887.8,1879.64,5.01,2.6,145,276,120.9,0.81,High,Background
2018,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.1267,239,330,569,1442.14,870.81,2312.95,6.03,2.64,183,272,204.1,1.36,High,Elevated
2019,11,Medan,Sumatera Utara,4492.61,-9.3563,109.2079,0.2958,532,797,1329,1920.52,3991.62,5912.14,3.61,5.01,337,635,365.1,2.43,Extreme,High
2011,12,Binjai,Sumatera Utara,4783.52,-7.4208,120.5358,0.1068,214,297,511,272.17,752.87,1025.04,1.27,2.53,169,246,191.2,1.27,High,Elevated
