year,district_id,district_name,province_name,area_km2,latitude,longitude,fire_density_per_km2,fire_count_modis,fire_count_viirs,total_fires,total_frp_modis_mw,total_frp_viirs_mw,total_frp_all_mw,mean_frp_modis_mw,mean_frp_viirs_mw,high_confidence_fires_modis,high_confidence_fires_viirs,co_concentration_ppbv,co_enhancement_factor,fire_season_intensity,co_pollution_level
2010,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.0938,56,84,140,175.46,600.4,775.85,3.13,7.15,37,60,85.6,0.57,Moderate,Background
2011,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.288,181,249,430,2814.96,254.51,3069.47,15.55,1.02,137,217,184.4,1.23,Moderate,Elevated
2012,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.286,180,247,427,845.18,1588.16,2433.34,4.7,6.43,117,212,249.1,1.66,Moderate,Elevated
2013,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.2712,158,247,405,66.57,3816.83,3883.4,0.42,15.45,108,173,166.6,1.11,Moderate,Elevated
2014,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.2625,151,241,392,773.01,1314.38,2087.39,5.12,5.45,112,188,149.4,1.0,Moderate,Background
2015,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.5197,306,470,776,15959.26,3234.32,19193.58,52.15,6.88,200,391,248.1,1.65,High,Elevated
2016,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.136,81,122,203,240.34,710.48,950.81,2.97,5.82,59,94,102.2,0.68,Moderate,Background
2017,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.2639,164,230,394,125.67,504.6,630.27,0.77,2.19,126,205,136.8,0.91,Moderate,Background
2018,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.2793,174,243,417,1760.72,421.76,2182.48,10.12,1.74,106,181,196.9,1.31,Moderate,Elevated
2019,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.6255,373,561,934,3456.46,851.44,4307.9,9.27,1.52,236,481,190.3,1.27,High,Elevated
2020,1,Banda Aceh,Aceh,1493.19,1.8807,137.9778,0.2163,126,197,323,1975.65,1001.13,2976.78,15.68,5.08,91,153,159.9,1.07,Moderate,Elevated
2010,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.0741,48,82,130,300.5,1272.68,1573.17,6.26,15.52,37,70,169.1,1.13,Moderate,Elevated
2011,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.1945,134,207,341,415.42,1130.61,1546.03,3.1,5.46,85,155,219.9,1.47,Moderate,Elevated
2012,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.2669,184,284,468,511.45,1102.61,1614.05,2.78,3.88,120,210,154.8,1.03,Moderate,Elevated
2013,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.2196,154,231,385,560.94,661.52,1222.45,3.64,2.86,111,170,139.2,0.93,Moderate,Background
2014,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.215,146,231,377,642.57,572.68,1215.25,4.4,2.48,114,185,206.5,1.38,Moderate,Elevated
2015,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.4985,377,497,874,3663.19,2876.77,6539.96,9.72,5.79,263,431,352.7,2.35,High,High
2016,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.13,90,138,228,288.73,775.4,1064.13,3.21,5.62,61,116,180.0,1.2,Moderate,Elevated
2017,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.1882,127,203,330,1273.47,2438.91,3712.39,10.03,12.01,82,181,154.4,1.03,Moderate,Elevated
2018,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.2396,176,244,420,3364.97,3992.79,7357.76,19.12,16.36,132,186,222.2,1.48,Moderate,Elevated
2019,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.5259,366,556,922,2190.36,384.77,2575.13,5.98,0.69,247,420,215.4,1.44,High,Elevated
2020,2,Sabang,Aceh,1753.28,-7.9714,137.8064,0.1973,140,206,346,127.37,565.66,693.03,0.91,2.75,91,164,201.4,1.34,Moderate,Elevated
2010,3,Lhokseumawe,Aceh,3718.19,-9.129,110.5982,0.0559,83,125,208,399.06,335.26,734.32,4.81,2.68,55,97,148.3,0.99,Moderate,Background
2011,3,Lhokseumawe,Aceh,3718.19,-9.129,110.5982,0.0855,131,187,318,3085.46,235.72,3321.18,23.55,1.26,84,145,168.6,1.12,Moderate,Elevated
